P=350 psia (168.70 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
25,-4,350,24.13,82.1122,5.1262,0.0122,0.1954,20.31,47.24,0.0433,0.1813,0.3156,1.5108,Subcooled,0.28830,0.054935
30,-1,350,24.13,81.5593,5.0917,0.0123,0.1970,21.89,50.92,0.0466,0.1951,0.3172,1.5127,Subcooled,0.27826,0.054228
35,2,350,24.13,80.9997,5.0568,0.0123,0.1970,23.48,54.61,0.0498,0.2085,0.3189,1.5148,Subcooled,0.26864,0.053525
40,4,350,24.13,80.4330,5.0214,0.0124,0.1986,25.08,58.34,0.0530,0.2219,0.3206,1.5171,Subcooled,0.25942,0.052824
45,7,350,24.13,79.8589,4.9856,0.0125,0.2002,26.69,62.08,0.0562,0.2353,0.3224,1.5197,Subcooled,0.25057,0.052127
50,10,350,24.13,79.2767,4.9492,0.0126,0.2018,28.30,65.83,0.0594,0.2487,0.3243,1.5225,Subcooled,0.24207,0.051432
55,13,350,24.13,78.6859,4.9123,0.0127,0.2034,29.93,69.62,0.0626,0.2621,0.3262,1.5256,Subcooled,0.23389,0.050739
60,16,350,24.13,78.0859,4.8749,0.0128,0.2050,31.57,73.43,0.0657,0.2751,0.3283,1.5291,Subcooled,0.22602,0.050048
65,18,350,24.13,77.4762,4.8368,0.0129,0.2066,33.21,77.25,0.0689,0.2885,0.3304,1.5329,Subcooled,0.21842,0.049358
70,21,350,24.13,76.8559,4.7981,0.0130,0.2082,34.87,81.11,0.0720,0.3014,0.3326,1.5371,Subcooled,0.21108,0.048669
75,24,350,24.13,76.2243,4.7587,0.0131,0.2098,36.54,84.99,0.0752,0.3148,0.3350,1.5417,Subcooled,0.20398,0.047981
80,27,350,24.13,75.5806,4.7185,0.0132,0.2114,38.22,88.90,0.0783,0.3278,0.3375,1.5468,Subcooled,0.19711,0.047293
85,29,350,24.13,74.9236,4.6775,0.0133,0.2130,39.92,92.85,0.0814,0.3408,0.3401,1.5525,Subcooled,0.19045,0.046605
90,32,350,24.13,74.2525,4.6356,0.0135,0.2162,41.62,96.81,0.0846,0.3542,0.3430,1.5587,Subcooled,0.18399,0.045916
95,35,350,24.13,73.5658,4.5927,0.0136,0.2178,43.35,100.83,0.0877,0.3672,0.3460,1.5657,Subcooled,0.17770,0.045225
100,38,350,24.13,72.8623,4.5488,0.0137,0.2194,45.08,104.86,0.0908,0.3802,0.3492,1.5734,Subcooled,0.17158,0.044532
105,41,350,24.13,72.1403,4.5037,0.0139,0.2227,46.84,108.95,0.0939,0.3931,0.3526,1.5819,Subcooled,0.16562,0.043835
110,43,350,24.13,71.3980,4.4574,0.0140,0.2243,48.61,113.07,0.0970,0.4061,0.3563,1.5915,Subcooled,0.15980,0.043135
115,46,350,24.13,70.6333,4.4096,0.0142,0.2275,50.40,117.23,0.1002,0.4195,0.3604,1.6023,Subcooled,0.15410,0.042431
120,49,350,24.13,69.8438,4.3603,0.0143,0.2291,52.21,121.44,0.1033,0.4325,0.3648,1.6145,Subcooled,0.14852,0.041720
125,52,350,24.13,69.0265,4.3093,0.0145,0.2323,54.05,125.72,0.1065,0.4459,0.3696,1.6282,Subcooled,0.14303,0.041003
130,54,350,24.13,68.1780,4.2563,0.0147,0.2355,55.91,130.05,0.1096,0.4589,0.3750,1.6440,Subcooled,0.13764,0.040277
135,57,350,24.13,67.2940,4.2011,0.0149,0.2387,57.80,134.44,0.1128,0.4723,0.3811,1.6621,Subcooled,0.13231,0.039541
140,60,350,24.13,66.3693,4.1434,0.0151,0.2419,59.72,138.91,0.1160,0.4857,0.3879,1.6832,Subcooled,0.12705,0.038792
145,63,350,24.13,65.3975,4.0828,0.0153,0.2451,61.68,143.47,0.1193,0.4995,0.3958,1.7080,Subcooled,0.12181,0.038030
150,65,350,24.13,64.3701,4.0186,0.0155,0.2483,63.68,148.12,0.1226,0.5133,0.4050,1.7377,Subcooled,0.11660,0.037250
