P=350 psia (168.70 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,350,24.13,89.8170,5.6073,0.0111,0.1778,-2.60,-6.05,-0.0080,-0.0335,0.2965,1.4994,Subcooled,0.52388,0.066123
-45,-43,350,24.13,89.3293,5.5768,0.0112,0.1794,-1.11,-2.58,-0.0044,-0.0184,0.2976,1.4995,Subcooled,0.50062,0.065335
-40,-40,350,24.13,88.8388,5.5462,0.0113,0.1810,0.38,0.88,-0.0008,-0.0033,0.2987,1.4997,Subcooled,0.47891,0.064554
-35,-37,350,24.13,88.3452,5.5154,0.0113,0.1810,1.87,4.35,0.0027,0.0113,0.2998,1.4999,Subcooled,0.45860,0.063780
-30,-34,350,24.13,87.8484,5.4844,0.0114,0.1826,3.38,7.86,0.0063,0.0264,0.3009,1.5002,Subcooled,0.43955,0.063012
-25,-32,350,24.13,87.3482,5.4531,0.0114,0.1826,4.88,11.35,0.0097,0.0406,0.3021,1.5006,Subcooled,0.42165,0.062251
-20,-29,350,24.13,86.8444,5.4217,0.0115,0.1842,6.40,14.89,0.0132,0.0553,0.3033,1.5011,Subcooled,0.40481,0.061496
-15,-26,350,24.13,86.3369,5.3900,0.0116,0.1858,7.92,18.42,0.0166,0.0695,0.3045,1.5017,Subcooled,0.38892,0.060746
-10,-23,350,24.13,85.8254,5.3581,0.0117,0.1874,9.44,21.96,0.0201,0.0842,0.3057,1.5024,Subcooled,0.37392,0.060002
-5,-21,350,24.13,85.3096,5.3259,0.0117,0.1874,10.97,25.52,0.0234,0.0980,0.3070,1.5032,Subcooled,0.35973,0.059264
0,-18,350,24.13,84.7894,5.2934,0.0118,0.1890,12.51,29.10,0.0268,0.1122,0.3083,1.5041,Subcooled,0.34628,0.058531
5,-15,350,24.13,84.2645,5.2606,0.0119,0.1906,14.06,32.70,0.0301,0.1260,0.3097,1.5051,Subcooled,0.33351,0.057803
10,-12,350,24.13,83.7346,5.2275,0.0119,0.1906,15.61,36.31,0.0335,0.1403,0.3111,1.5063,Subcooled,0.32138,0.057079
15,-9,350,24.13,83.1995,5.1941,0.0120,0.1922,17.17,39.94,0.0368,0.1541,0.3126,1.5076,Subcooled,0.30983,0.056361
20,-7,350,24.13,82.6588,5.1604,0.0121,0.1938,18.74,43.59,0.0401,0.1679,0.3141,1.5091,Subcooled,0.29882,0.055646
