P=200 psia (125.26 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,200,13.79,89.6809,5.5988,0.0112,0.1794,-2.77,-6.44,-0.0076,-0.0318,0.2970,1.5021,Subcooled,0.51825,0.065866
-45,-43,200,13.79,89.1889,5.5680,0.0112,0.1794,-1.28,-2.98,-0.0040,-0.0167,0.2981,1.5023,Subcooled,0.49521,0.065074
-40,-40,200,13.79,88.6939,5.5371,0.0113,0.1810,0.21,0.49,-0.0005,-0.0021,0.2992,1.5026,Subcooled,0.47370,0.064288
-35,-37,200,13.79,88.1956,5.5060,0.0113,0.1810,1.71,3.98,0.0031,0.0130,0.3003,1.5030,Subcooled,0.45356,0.063509
-30,-34,200,13.79,87.6939,5.4747,0.0114,0.1826,3.22,7.49,0.0066,0.0276,0.3015,1.5034,Subcooled,0.43467,0.062736
-25,-32,200,13.79,87.1885,5.4432,0.0115,0.1842,4.73,11.00,0.0101,0.0423,0.3027,1.5039,Subcooled,0.41692,0.061970
-20,-29,200,13.79,86.6793,5.4114,0.0115,0.1842,6.24,14.51,0.0136,0.0569,0.3039,1.5045,Subcooled,0.40020,0.061209
-15,-26,200,13.79,86.1661,5.3793,0.0116,0.1858,7.76,18.05,0.0170,0.0712,0.3052,1.5052,Subcooled,0.38444,0.060454
-10,-23,200,13.79,85.6485,5.3470,0.0117,0.1874,9.29,21.61,0.0204,0.0854,0.3065,1.5061,Subcooled,0.36955,0.059704
-5,-21,200,13.79,85.1265,5.3144,0.0117,0.1874,10.83,25.19,0.0238,0.0996,0.3078,1.5070,Subcooled,0.35545,0.058960
0,-18,200,13.79,84.5996,5.2815,0.0118,0.1890,12.37,28.77,0.0272,0.1139,0.3092,1.5081,Subcooled,0.34209,0.058220
5,-15,200,13.79,84.0677,5.2483,0.0119,0.1906,13.92,32.38,0.0306,0.1281,0.3106,1.5094,Subcooled,0.32941,0.057485
10,-12,200,13.79,83.5304,5.2148,0.0120,0.1922,15.48,36.01,0.0339,0.1419,0.3120,1.5108,Subcooled,0.31734,0.056755
15,-9,200,13.79,82.9874,5.1809,0.0121,0.1938,17.04,39.64,0.0372,0.1557,0.3136,1.5123,Subcooled,0.30586,0.056029
20,-7,200,13.79,82.4383,5.1466,0.0121,0.1938,18.61,43.29,0.0405,0.1696,0.3151,1.5141,Subcooled,0.29490,0.055306
25,-4,200,13.79,81.8828,5.1119,0.0122,0.1954,20.19,46.96,0.0438,0.1834,0.3167,1.5160,Subcooled,0.28444,0.054588
30,-1,200,13.79,81.3204,5.0768,0.0123,0.1970,21.78,50.66,0.0470,0.1968,0.3184,1.5182,Subcooled,0.27444,0.053872
35,2,200,13.79,80.7508,5.0413,0.0124,0.1986,23.38,54.38,0.0503,0.2106,0.3202,1.5207,Subcooled,0.26486,0.053160
40,4,200,13.79,80.1734,5.0052,0.0125,0.2002,24.98,58.10,0.0535,0.2240,0.3220,1.5233,Subcooled,0.25567,0.052450
45,7,200,13.79,79.5877,4.9686,0.0126,0.2018,26.60,61.87,0.0567,0.2374,0.3239,1.5263,Subcooled,0.24685,0.051742
50,10,200,13.79,78.9931,4.9315,0.0127,0.2034,28.22,65.64,0.0599,0.2508,0.3259,1.5296,Subcooled,0.23837,0.051037
55,13,200,13.79,78.3891,4.8938,0.0128,0.2050,29.86,69.45,0.0631,0.2642,0.3280,1.5332,Subcooled,0.23020,0.050333
60,16,200,13.79,77.7748,4.8555,0.0129,0.2066,31.50,73.27,0.0663,0.2776,0.3302,1.5372,Subcooled,0.22233,0.049630
65,18,200,13.79,77.1496,4.8164,0.0130,0.2082,33.16,77.13,0.0695,0.2910,0.3325,1.5417,Subcooled,0.21473,0.048928
70,21,200,13.79,76.5125,4.7767,0.0131,0.2098,34.83,81.01,0.0726,0.3040,0.3349,1.5466,Subcooled,0.20739,0.048225
75,24,200,13.79,75.8626,4.7361,0.0132,0.2114,36.51,84.92,0.0758,0.3174,0.3375,1.5520,Subcooled,0.20028,0.047523
80,27,200,13.79,75.1989,4.6946,0.0133,0.2130,38.20,88.85,0.0790,0.3308,0.3402,1.5580,Subcooled,0.19339,0.046819
85,29,200,13.79,74.5201,4.6523,0.0134,0.2146,39.91,92.83,0.0821,0.3437,0.3431,1.5647,Subcooled,0.18670,0.046114
