P=200 psia (125.26 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
90,32,200,13.79,73.8249,4.6089,0.0135,0.2162,41.63,96.83,0.0853,0.3571,0.3463,1.5721,Subcooled,0.18020,0.045407
95,35,200,13.79,73.1117,4.5643,0.0137,0.2194,43.37,100.88,0.0884,0.3701,0.3496,1.5804,Subcooled,0.17387,0.044696
100,38,200,13.79,72.3786,4.5186,0.0138,0.2210,45.13,104.97,0.0916,0.3835,0.3532,1.5897,Subcooled,0.16770,0.043981
105,41,200,13.79,71.6237,4.4715,0.0140,0.2243,46.91,109.11,0.0947,0.3965,0.3572,1.6002,Subcooled,0.16167,0.043262
110,43,200,13.79,70.8444,4.4228,0.0141,0.2259,48.70,113.28,0.0979,0.4099,0.3615,1.6120,Subcooled,0.15577,0.042536
115,46,200,13.79,70.0379,4.3724,0.0143,0.2291,50.52,117.51,0.1011,0.4233,0.3663,1.6255,Subcooled,0.14998,0.041803
120,49,200,13.79,69.2006,4.3202,0.0145,0.2323,52.37,121.81,0.1043,0.4367,0.3716,1.6409,Subcooled,0.14429,0.041060
125,52,200,13.79,68.3283,4.2657,0.0146,0.2339,54.24,126.16,0.1075,0.4501,0.3775,1.6587,Subcooled,0.13867,0.040307
130,54,200,13.79,4.2537,0.2656,0.2351,3.7658,120.13,279.42,0.2201,0.9215,0.2950,1.3420,Superheated,0.01314,0.009883
135,57,200,13.79,4.1605,0.2597,0.2404,3.8507,121.59,282.82,0.2226,0.9320,0.2883,1.3194,Superheated,0.01325,0.009955
140,60,200,13.79,4.0748,0.2544,0.2454,3.9308,123.01,286.12,0.2250,0.9420,0.2829,1.3003,Superheated,0.01337,0.010035
145,63,200,13.79,3.9952,0.2494,0.2503,4.0093,124.42,289.40,0.2273,0.9517,0.2786,1.2840,Superheated,0.01349,0.010122
150,65,200,13.79,3.9211,0.2448,0.2550,4.0846,125.80,292.61,0.2296,0.9613,0.2751,1.2699,Superheated,0.01360,0.010215
