P=90 psia (72.82 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
35,2,90,6.21,80.5632,5.0295,0.0124,0.1986,23.30,54.20,0.0506,0.2119,0.3212,1.5252,Subcooled,0.26206,0.052886
40,4,90,6.21,79.9774,4.9930,0.0125,0.2002,24.91,57.94,0.0539,0.2257,0.3231,1.5282,Subcooled,0.25289,0.052169
45,7,90,6.21,79.3827,4.9558,0.0126,0.2018,26.53,61.71,0.0571,0.2391,0.3251,1.5315,Subcooled,0.24409,0.051454
50,10,90,6.21,78.7784,4.9181,0.0127,0.2034,28.16,65.50,0.0603,0.2525,0.3272,1.5351,Subcooled,0.23562,0.050740
55,13,90,6.21,78.1638,4.8797,0.0128,0.2050,29.81,69.34,0.0635,0.2659,0.3294,1.5392,Subcooled,0.22746,0.050027
60,16,90,6.21,77.5382,4.8407,0.0129,0.2066,31.46,73.18,0.0667,0.2793,0.3317,1.5436,Subcooled,0.21959,0.049315
65,18,90,6.21,76.9006,4.8009,0.0130,0.2082,33.12,77.04,0.0699,0.2927,0.3341,1.5486,Subcooled,0.21199,0.048602
70,21,90,6.21,76.2501,4.7603,0.0131,0.2098,34.80,80.94,0.0731,0.3061,0.3367,1.5541,Subcooled,0.20463,0.047889
75,24,90,6.21,1.8688,0.1167,0.5351,8.5712,113.67,264.40,0.2212,0.9261,0.2418,1.2217,Superheated,0.01165,0.007911
80,27,90,6.21,1.8386,0.1148,0.5439,8.7122,114.88,267.21,0.2235,0.9357,0.2393,1.2127,Superheated,0.01177,0.008028
85,29,90,6.21,1.8100,0.1130,0.5525,8.8499,116.07,269.98,0.2257,0.9450,0.2374,1.2047,Superheated,0.01189,0.008146
90,32,90,6.21,1.7829,0.1113,0.5609,8.9845,117.25,272.72,0.2278,0.9538,0.2360,1.1977,Superheated,0.01201,0.008266
95,35,90,6.21,1.7570,0.1097,0.5692,9.1174,118.43,275.47,0.2300,0.9630,0.2349,1.1913,Superheated,0.01213,0.008386
100,38,90,6.21,1.7322,0.1081,0.5773,9.2472,119.60,278.19,0.2321,0.9718,0.2341,1.1855,Superheated,0.01225,0.008507
105,41,90,6.21,1.7085,0.1067,0.5853,9.3753,120.77,280.91,0.2341,0.9801,0.2335,1.1803,Superheated,0.01237,0.008629
110,43,90,6.21,1.6857,0.1052,0.5932,9.5019,121.94,283.63,0.2362,0.9889,0.2331,1.1755,Superheated,0.01248,0.008752
115,46,90,6.21,1.6638,0.1039,0.6010,9.6268,123.10,286.33,0.2382,0.9973,0.2328,1.1710,Superheated,0.01260,0.008875
120,49,90,6.21,1.6427,0.1026,0.6087,9.7502,124.26,289.03,0.2402,1.0057,0.2327,1.1669,Superheated,0.01272,0.008998
125,52,90,6.21,1.6224,0.1013,0.6164,9.8735,125.43,291.75,0.2422,1.0140,0.2327,1.1631,Superheated,0.01283,0.009122
130,54,90,6.21,1.6027,0.1001,0.6239,9.9936,126.59,294.45,0.2442,1.0224,0.2328,1.1595,Superheated,0.01295,0.009247
135,57,90,6.21,1.5837,0.0989,0.6314,10.1138,127.76,297.17,0.2462,1.0308,0.2329,1.1562,Superheated,0.01306,0.009371
140,60,90,6.21,1.5653,0.0977,0.6389,10.2339,128.92,299.87,0.2481,1.0387,0.2332,1.1530,Superheated,0.01318,0.009496
145,63,90,6.21,1.5475,0.0966,0.6462,10.3508,130.09,302.59,0.2501,1.0471,0.2334,1.1501,Superheated,0.01329,0.009621
150,65,90,6.21,1.5302,0.0955,0.6535,10.4678,131.26,305.31,0.2520,1.0551,0.2338,1.1473,Superheated,0.01340,0.009746
