P=90 psia (72.82 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,90,6.21,89.5798,5.5924,0.0112,0.1794,-2.89,-6.72,-0.0074,-0.0310,0.2973,1.5042,Subcooled,0.51414,0.065676
-45,-43,90,6.21,89.0846,5.5615,0.0112,0.1794,-1.40,-3.26,-0.0038,-0.0159,0.2984,1.5044,Subcooled,0.49126,0.064880
-40,-40,90,6.21,88.5861,5.5304,0.0113,0.1810,0.09,0.21,-0.0002,-0.0008,0.2996,1.5048,Subcooled,0.46988,0.064091
-35,-37,90,6.21,88.0843,5.4991,0.0114,0.1826,1.59,3.70,0.0034,0.0142,0.3007,1.5052,Subcooled,0.44987,0.063308
-30,-34,90,6.21,87.5788,5.4675,0.0114,0.1826,3.10,7.21,0.0069,0.0289,0.3019,1.5057,Subcooled,0.43110,0.062531
-25,-32,90,6.21,87.0695,5.4357,0.0115,0.1842,4.61,10.72,0.0104,0.0435,0.3031,1.5064,Subcooled,0.41345,0.061761
-20,-29,90,6.21,86.5562,5.4037,0.0116,0.1858,6.13,14.26,0.0139,0.0582,0.3044,1.5071,Subcooled,0.39683,0.060996
-15,-26,90,6.21,86.0386,5.3714,0.0116,0.1858,7.65,17.79,0.0173,0.0724,0.3057,1.5079,Subcooled,0.38115,0.060236
-10,-23,90,6.21,85.5165,5.3388,0.0117,0.1874,9.19,21.38,0.0207,0.0867,0.3070,1.5089,Subcooled,0.36634,0.059482
-5,-21,90,6.21,84.9896,5.3059,0.0118,0.1890,10.72,24.93,0.0241,0.1009,0.3084,1.5099,Subcooled,0.35231,0.058733
0,-18,90,6.21,84.4577,5.2727,0.0118,0.1890,12.27,28.54,0.0275,0.1151,0.3098,1.5112,Subcooled,0.33902,0.057989
5,-15,90,6.21,83.9203,5.2391,0.0119,0.1906,13.82,32.15,0.0309,0.1294,0.3112,1.5126,Subcooled,0.32639,0.057249
10,-12,90,6.21,83.3773,5.2052,0.0120,0.1922,15.38,35.77,0.0342,0.1432,0.3128,1.5142,Subcooled,0.31437,0.056513
15,-9,90,6.21,82.8282,5.1709,0.0121,0.1938,16.95,39.43,0.0375,0.1570,0.3143,1.5159,Subcooled,0.30293,0.055781
20,-7,90,6.21,82.2727,5.1363,0.0122,0.1954,18.53,43.10,0.0408,0.1708,0.3159,1.5179,Subcooled,0.29202,0.055053
25,-4,90,6.21,81.7103,5.1012,0.0122,0.1954,20.11,46.78,0.0441,0.1846,0.3176,1.5201,Subcooled,0.28159,0.054328
30,-1,90,6.21,81.1407,5.0656,0.0123,0.1970,21.70,50.47,0.0474,0.1985,0.3194,1.5225,Subcooled,0.27162,0.053606
