P=375 psia (174.46 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,375,25.85,89.8395,5.6087,0.0111,0.1778,-2.57,-5.98,-0.0080,-0.0335,0.2965,1.4990,Subcooled,0.52482,0.066166
-45,-43,375,25.85,89.3525,5.5783,0.0112,0.1794,-1.08,-2.51,-0.0044,-0.0184,0.2975,1.4991,Subcooled,0.50153,0.065379
-40,-40,375,25.85,88.8627,5.5477,0.0113,0.1810,0.41,0.95,-0.0009,-0.0038,0.2986,1.4992,Subcooled,0.47978,0.064598
-35,-37,375,25.85,88.3699,5.5169,0.0113,0.1810,1.90,4.42,0.0027,0.0113,0.2997,1.4994,Subcooled,0.45944,0.063825
-30,-34,375,25.85,87.8739,5.4859,0.0114,0.1826,3.40,7.91,0.0062,0.0260,0.3008,1.4997,Subcooled,0.44036,0.063058
-25,-32,375,25.85,87.3746,5.4548,0.0114,0.1826,4.91,11.42,0.0097,0.0406,0.3020,1.5001,Subcooled,0.42244,0.062297
-20,-29,375,25.85,86.8717,5.4234,0.0115,0.1842,6.42,14.93,0.0131,0.0548,0.3032,1.5006,Subcooled,0.40557,0.061543
-15,-26,375,25.85,86.3650,5.3917,0.0116,0.1858,7.94,18.47,0.0166,0.0695,0.3044,1.5011,Subcooled,0.38967,0.060795
-10,-23,375,25.85,85.8545,5.3599,0.0116,0.1858,9.47,22.03,0.0200,0.0837,0.3056,1.5018,Subcooled,0.37465,0.060052
-5,-21,375,25.85,85.3398,5.3277,0.0117,0.1874,11.00,25.59,0.0234,0.0980,0.3069,1.5025,Subcooled,0.36044,0.059314
0,-18,375,25.85,84.8206,5.2953,0.0118,0.1890,12.54,29.17,0.0267,0.1118,0.3082,1.5034,Subcooled,0.34698,0.058582
5,-15,375,25.85,84.2969,5.2626,0.0119,0.1906,14.08,32.75,0.0301,0.1260,0.3096,1.5044,Subcooled,0.33420,0.057855
10,-12,375,25.85,83.7682,5.2296,0.0119,0.1906,15.63,36.36,0.0334,0.1398,0.3110,1.5056,Subcooled,0.32205,0.057133
15,-9,375,25.85,83.2343,5.1963,0.0120,0.1922,17.19,39.98,0.0367,0.1537,0.3124,1.5069,Subcooled,0.31049,0.056415
20,-7,375,25.85,82.6950,5.1626,0.0121,0.1938,18.76,43.64,0.0400,0.1675,0.3139,1.5083,Subcooled,0.29947,0.055702
25,-4,375,25.85,82.1498,5.1286,0.0122,0.1954,20.33,47.29,0.0432,0.1809,0.3154,1.5100,Subcooled,0.28895,0.054992
30,-1,375,25.85,81.5984,5.0942,0.0123,0.1970,21.91,50.96,0.0465,0.1947,0.3170,1.5118,Subcooled,0.27889,0.054287
35,2,375,25.85,81.0404,5.0593,0.0123,0.1970,23.50,54.66,0.0497,0.2081,0.3187,1.5139,Subcooled,0.26927,0.053585
40,4,375,25.85,80.4755,5.0241,0.0124,0.1986,25.10,58.38,0.0529,0.2215,0.3204,1.5161,Subcooled,0.26004,0.052886
45,7,375,25.85,79.9032,4.9883,0.0125,0.2002,26.70,62.10,0.0561,0.2349,0.3222,1.5186,Subcooled,0.25119,0.052190
50,10,375,25.85,79.3229,4.9521,0.0126,0.2018,28.32,65.87,0.0593,0.2483,0.3240,1.5214,Subcooled,0.24269,0.051497
55,13,375,25.85,78.7343,4.9154,0.0127,0.2034,29.94,69.64,0.0625,0.2617,0.3259,1.5244,Subcooled,0.23450,0.050805
60,16,375,25.85,78.1366,4.8780,0.0128,0.2050,31.58,73.46,0.0657,0.2751,0.3280,1.5278,Subcooled,0.22662,0.050116
65,18,375,25.85,77.5293,4.8401,0.0129,0.2066,33.22,77.27,0.0688,0.2881,0.3301,1.5315,Subcooled,0.21903,0.049429
70,21,375,25.85,76.9117,4.8016,0.0130,0.2082,34.88,81.13,0.0719,0.3010,0.3323,1.5356,Subcooled,0.21169,0.048742
75,24,375,25.85,76.2829,4.7623,0.0131,0.2098,36.55,85.02,0.0751,0.3144,0.3346,1.5401,Subcooled,0.20459,0.048056
80,27,375,25.85,75.6423,4.7223,0.0132,0.2114,38.23,88.92,0.0782,0.3274,0.3371,1.5451,Subcooled,0.19772,0.047371
85,29,375,25.85,74.9888,4.6815,0.0133,0.2130,39.92,92.85,0.0813,0.3404,0.3397,1.5506,Subcooled,0.19107,0.046685
90,32,375,25.85,74.3213,4.6399,0.0135,0.2162,41.62,96.81,0.0844,0.3534,0.3424,1.5566,Subcooled,0.18461,0.045998
95,35,375,25.85,73.6387,4.5972,0.0136,0.2178,43.34,100.81,0.0876,0.3668,0.3454,1.5634,Subcooled,0.17833,0.045310
100,38,375,25.85,72.9397,4.5536,0.0137,0.2194,45.08,104.86,0.0907,0.3797,0.3485,1.5708,Subcooled,0.17222,0.044620
105,41,375,25.85,72.2227,4.5088,0.0138,0.2210,46.83,108.93,0.0938,0.3927,0.3519,1.5792,Subcooled,0.16626,0.043928
110,43,375,25.85,71.4860,4.4629,0.0140,0.2243,48.60,113.04,0.0969,0.4057,0.3555,1.5884,Subcooled,0.16045,0.043232
115,46,375,25.85,70.7276,4.4155,0.0141,0.2259,50.38,117.18,0.1000,0.4187,0.3595,1.5988,Subcooled,0.15477,0.042531
120,49,375,25.85,69.9452,4.3667,0.0143,0.2291,52.19,121.39,0.1032,0.4321,0.3638,1.6105,Subcooled,0.14920,0.041826
125,52,375,25.85,69.1359,4.3161,0.0145,0.2323,54.02,125.65,0.1063,0.4451,0.3685,1.6238,Subcooled,0.14373,0.041113
130,54,375,25.85,68.2967,4.2637,0.0146,0.2339,55.88,129.98,0.1095,0.4585,0.3737,1.6389,Subcooled,0.13836,0.040393
135,57,375,25.85,67.4234,4.2092,0.0148,0.2371,57.76,134.35,0.1126,0.4714,0.3795,1.6562,Subcooled,0.13306,0.039664
140,60,375,25.85,66.5113,4.1523,0.0150,0.2403,59.67,138.79,0.1158,0.4848,0.3861,1.6762,Subcooled,0.12782,0.038923
145,63,375,25.85,65.5545,4.0926,0.0153,0.2451,61.62,143.33,0.1191,0.4986,0.3936,1.6997,Subcooled,0.12263,0.038169
150,65,375,25.85,64.5452,4.0295,0.0155,0.2483,63.61,147.96,0.1224,0.5125,0.4023,1.7276,Subcooled,0.11745,0.037399
