P=100 psia (79.16 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
95,35,100,6.89,1.9877,0.1241,0.5031,8.0587,117.78,273.96,0.2270,0.9504,0.2407,1.2072,Superheated,0.01213,0.008429
100,38,100,6.89,1.9578,0.1222,0.5108,8.1820,118.98,276.75,0.2292,0.9596,0.2393,1.2001,Superheated,0.01225,0.008547
105,41,100,6.89,1.9294,0.1205,0.5183,8.3021,120.18,279.54,0.2313,0.9684,0.2383,1.1936,Superheated,0.01237,0.008667
110,43,100,6.89,1.9022,0.1188,0.5257,8.4207,121.37,282.31,0.2334,0.9772,0.2374,1.1878,Superheated,0.01248,0.008787
115,46,100,6.89,1.8761,0.1171,0.5330,8.5376,122.55,285.05,0.2355,0.9860,0.2368,1.1824,Superheated,0.01260,0.008909
120,49,100,6.89,1.8511,0.1156,0.5402,8.6529,123.74,287.82,0.2375,0.9944,0.2364,1.1775,Superheated,0.01272,0.009030
125,52,100,6.89,1.8270,0.1141,0.5473,8.7667,124.92,290.56,0.2395,1.0027,0.2361,1.1729,Superheated,0.01283,0.009153
130,54,100,6.89,1.8038,0.1126,0.5544,8.8804,126.10,293.31,0.2415,1.0111,0.2360,1.1687,Superheated,0.01295,0.009276
135,57,100,6.89,1.7815,0.1112,0.5613,8.9909,127.28,296.05,0.2435,1.0195,0.2359,1.1648,Superheated,0.01307,0.009399
140,60,100,6.89,1.7599,0.1099,0.5682,9.1014,128.46,298.80,0.2455,1.0279,0.2360,1.1611,Superheated,0.01318,0.009523
145,63,100,6.89,1.7390,0.1086,0.5750,9.2104,129.64,301.54,0.2475,1.0362,0.2361,1.1577,Superheated,0.01330,0.009647
150,65,100,6.89,1.7188,0.1073,0.5818,9.3193,130.82,304.29,0.2494,1.0442,0.2363,1.1545,Superheated,0.01341,0.009771
