P=100 psia (79.16 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,100,6.89,89.5890,5.5930,0.0112,0.1794,-2.88,-6.70,-0.0074,-0.0310,0.2973,1.5040,Subcooled,0.51452,0.065693
-45,-43,100,6.89,89.0941,5.5621,0.0112,0.1794,-1.39,-3.23,-0.0038,-0.0159,0.2984,1.5042,Subcooled,0.49162,0.064898
-40,-40,100,6.89,88.5960,5.5310,0.0113,0.1810,0.10,0.23,-0.0002,-0.0008,0.2995,1.5046,Subcooled,0.47023,0.064109
-35,-37,100,6.89,88.0944,5.4997,0.0114,0.1826,1.60,3.72,0.0033,0.0138,0.3007,1.5050,Subcooled,0.45021,0.063326
-30,-34,100,6.89,87.5893,5.4682,0.0114,0.1826,3.11,7.23,0.0069,0.0289,0.3019,1.5055,Subcooled,0.43142,0.062550
-25,-32,100,6.89,87.0804,5.4364,0.0115,0.1842,4.62,10.75,0.0104,0.0435,0.3031,1.5061,Subcooled,0.41376,0.061780
-20,-29,100,6.89,86.5674,5.4044,0.0116,0.1858,6.14,14.28,0.0138,0.0578,0.3043,1.5068,Subcooled,0.39714,0.061015
-15,-26,100,6.89,86.0503,5.3721,0.0116,0.1858,7.66,17.82,0.0173,0.0724,0.3056,1.5077,Subcooled,0.38145,0.060256
-10,-23,100,6.89,85.5286,5.3395,0.0117,0.1874,9.20,21.40,0.0207,0.0867,0.3070,1.5086,Subcooled,0.36663,0.059502
-5,-21,100,6.89,85.0021,5.3067,0.0118,0.1890,10.73,24.96,0.0241,0.1009,0.3083,1.5097,Subcooled,0.35260,0.058754
0,-18,100,6.89,84.4707,5.2735,0.0118,0.1890,12.28,28.56,0.0275,0.1151,0.3097,1.5109,Subcooled,0.33930,0.058010
5,-15,100,6.89,83.9338,5.2400,0.0119,0.1906,13.83,32.17,0.0308,0.1290,0.3112,1.5123,Subcooled,0.32666,0.057270
10,-12,100,6.89,83.3913,5.2061,0.0120,0.1922,15.39,35.80,0.0342,0.1432,0.3127,1.5138,Subcooled,0.31465,0.056535
15,-9,100,6.89,82.8428,5.1719,0.0121,0.1938,16.96,39.45,0.0375,0.1570,0.3142,1.5156,Subcooled,0.30320,0.055804
20,-7,100,6.89,82.2879,5.1372,0.0122,0.1954,18.53,43.10,0.0408,0.1708,0.3159,1.5175,Subcooled,0.29228,0.055076
25,-4,100,6.89,81.7262,5.1021,0.0122,0.1954,20.12,46.80,0.0441,0.1846,0.3175,1.5197,Subcooled,0.28185,0.054352
30,-1,100,6.89,81.1572,5.0666,0.0123,0.1970,21.71,50.50,0.0474,0.1985,0.3193,1.5221,Subcooled,0.27187,0.053630
35,2,100,6.89,80.5804,5.0306,0.0124,0.1986,23.31,54.22,0.0506,0.2119,0.3211,1.5248,Subcooled,0.26232,0.052911
40,4,100,6.89,79.9954,4.9941,0.0125,0.2002,24.92,57.96,0.0539,0.2257,0.3230,1.5277,Subcooled,0.25315,0.052195
45,7,100,6.89,79.4015,4.9570,0.0126,0.2018,26.54,61.73,0.0571,0.2391,0.3250,1.5310,Subcooled,0.24434,0.051480
50,10,100,6.89,78.7982,4.9194,0.0127,0.2034,28.17,65.52,0.0603,0.2525,0.3270,1.5346,Subcooled,0.23587,0.050767
55,13,100,6.89,78.1846,4.8810,0.0128,0.2050,29.81,69.34,0.0635,0.2659,0.3292,1.5386,Subcooled,0.22771,0.050055
60,16,100,6.89,77.5600,4.8421,0.0129,0.2066,31.46,73.18,0.0667,0.2793,0.3315,1.5430,Subcooled,0.21984,0.049344
65,18,100,6.89,76.9236,4.8023,0.0130,0.2082,33.13,77.06,0.0699,0.2927,0.3340,1.5479,Subcooled,0.21224,0.048632
70,21,100,6.89,76.2743,4.7618,0.0131,0.2098,34.80,80.94,0.0731,0.3061,0.3365,1.5534,Subcooled,0.20488,0.047920
75,24,100,6.89,75.6111,4.7204,0.0132,0.2114,36.49,84.88,0.0762,0.3190,0.3393,1.5594,Subcooled,0.19776,0.047207
80,27,100,6.89,2.0874,0.1303,0.4791,7.6742,114.13,265.47,0.2203,0.9224,0.2479,1.2348,Superheated,0.01176,0.008082
85,29,100,6.89,2.0523,0.1281,0.4873,7.8056,115.36,268.33,0.2226,0.9320,0.2449,1.2244,Superheated,0.01189,0.008196
90,32,100,6.89,2.0191,0.1261,0.4953,7.9337,116.58,271.17,0.2248,0.9412,0.2426,1.2153,Superheated,0.01201,0.008311
