P=70 psia (58.34 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,70,4.83,89.5613,5.5913,0.0112,0.1794,-2.92,-6.79,-0.0073,-0.0306,0.2974,1.5045,Subcooled,0.51340,0.065641
-45,-43,70,4.83,89.0654,5.5603,0.0112,0.1794,-1.43,-3.33,-0.0037,-0.0155,0.2985,1.5048,Subcooled,0.49054,0.064845
-40,-40,70,4.83,88.5664,5.5292,0.0113,0.1810,0.07,0.16,-0.0001,-0.0004,0.2996,1.5052,Subcooled,0.46919,0.064055
-35,-37,70,4.83,88.0639,5.4978,0.0114,0.1826,1.57,3.65,0.0034,0.0142,0.3008,1.5056,Subcooled,0.44920,0.063271
-30,-34,70,4.83,87.5577,5.4662,0.0114,0.1826,3.08,7.16,0.0069,0.0289,0.3020,1.5062,Subcooled,0.43045,0.062494
-25,-32,70,4.83,87.0477,5.4344,0.0115,0.1842,4.59,10.68,0.0104,0.0435,0.3032,1.5068,Subcooled,0.41282,0.061722
-20,-29,70,4.83,86.5336,5.4023,0.0116,0.1858,6.11,14.21,0.0139,0.0582,0.3045,1.5075,Subcooled,0.39622,0.060957
-15,-26,70,4.83,86.0152,5.3699,0.0116,0.1858,7.63,17.75,0.0174,0.0729,0.3058,1.5084,Subcooled,0.38056,0.060197
-10,-23,70,4.83,85.4923,5.3373,0.0117,0.1874,9.17,21.33,0.0208,0.0871,0.3071,1.5094,Subcooled,0.36575,0.059442
-5,-21,70,4.83,84.9645,5.3043,0.0118,0.1890,10.71,24.91,0.0242,0.1013,0.3085,1.5105,Subcooled,0.35174,0.058692
0,-18,70,4.83,84.4316,5.2710,0.0118,0.1890,12.25,28.49,0.0276,0.1156,0.3099,1.5118,Subcooled,0.33846,0.057946
5,-15,70,4.83,83.8933,5.2374,0.0119,0.1906,13.80,32.10,0.0309,0.1294,0.3114,1.5132,Subcooled,0.32584,0.057205
10,-12,70,4.83,83.3492,5.2035,0.0120,0.1922,15.37,35.75,0.0343,0.1436,0.3129,1.5148,Subcooled,0.31383,0.056468
15,-9,70,4.83,82.7990,5.1691,0.0121,0.1938,16.93,39.38,0.0376,0.1574,0.3145,1.5166,Subcooled,0.30240,0.055736
20,-7,70,4.83,82.2422,5.1344,0.0122,0.1954,18.51,43.05,0.0409,0.1712,0.3161,1.5186,Subcooled,0.29149,0.055006
25,-4,70,4.83,81.6786,5.0992,0.0122,0.1954,20.09,46.73,0.0442,0.1851,0.3178,1.5208,Subcooled,0.28107,0.054280
30,-1,70,4.83,81.1075,5.0635,0.0123,0.1970,21.69,50.45,0.0475,0.1989,0.3195,1.5233,Subcooled,0.27110,0.053557
35,2,70,4.83,80.5286,5.0274,0.0124,0.1986,23.29,54.17,0.0507,0.2123,0.3214,1.5260,Subcooled,0.26155,0.052836
40,4,70,4.83,79.9412,4.9907,0.0125,0.2002,24.90,57.92,0.0540,0.2261,0.3233,1.5291,Subcooled,0.25239,0.052118
45,7,70,4.83,79.3448,4.9535,0.0126,0.2018,26.52,61.69,0.0572,0.2395,0.3253,1.5324,Subcooled,0.24358,0.051401
50,10,70,4.83,78.7387,4.9156,0.0127,0.2034,28.15,65.48,0.0604,0.2529,0.3274,1.5362,Subcooled,0.23511,0.050685
55,13,70,4.83,78.1221,4.8771,0.0128,0.2050,29.80,69.31,0.0636,0.2663,0.3296,1.5403,Subcooled,0.22696,0.049971
60,16,70,4.83,,0.0000,0.6857,10.9835,111.69,259.79,0.2217,0.9282,0.2311,1.2031,Superheated,0.01132,0.007456
65,18,70,4.83,,0.0000,0.6963,11.1533,112.84,262.47,0.2239,0.9374,0.2293,1.1958,Superheated,0.01144,0.007578
70,21,70,4.83,,0.0000,0.7068,11.3215,113.99,265.14,0.2261,0.9466,0.2279,1.1893,Superheated,0.01156,0.007700
75,24,70,4.83,,0.0000,0.7170,11.4849,115.12,267.77,0.2282,0.9554,0.2269,1.1834,Superheated,0.01167,0.007822
80,27,70,4.83,,0.0000,0.7271,11.6467,116.26,270.42,0.2303,0.9642,0.2262,1.1782,Superheated,0.01179,0.007945
85,29,70,4.83,,0.0000,0.7370,11.8053,117.39,273.05,0.2324,0.9730,0.2257,1.1734,Superheated,0.01191,0.008069
90,32,70,4.83,,0.0000,0.7469,11.9638,118.51,275.65,0.2345,0.9818,0.2254,1.1690,Superheated,0.01203,0.008193
95,35,70,4.83,,0.0000,0.7566,12.1192,119.64,278.28,0.2365,0.9902,0.2253,1.1649,Superheated,0.01214,0.008318
100,38,70,4.83,,0.0000,0.7662,12.2730,120.77,280.91,0.2385,0.9986,0.2253,1.1612,Superheated,0.01226,0.008443
105,41,70,4.83,,0.0000,0.7757,12.4252,121.89,283.52,0.2405,1.0069,0.2254,1.1577,Superheated,0.01237,0.008568
110,43,70,4.83,,0.0000,0.7851,12.5757,123.02,286.14,0.2425,1.0153,0.2256,1.1544,Superheated,0.01249,0.008693
115,46,70,4.83,,0.0000,0.7945,12.7263,124.15,288.77,0.2445,1.0237,0.2258,1.1514,Superheated,0.01260,0.008819
120,49,70,4.83,,0.0000,0.8037,12.8737,125.28,291.40,0.2465,1.0320,0.2262,1.1485,Superheated,0.01272,0.008945
125,52,70,4.83,,0.0000,0.8129,13.0210,126.41,294.03,0.2484,1.0400,0.2265,1.1458,Superheated,0.01283,0.009071
130,54,70,4.83,,0.0000,0.8221,13.1684,127.54,296.66,0.2503,1.0480,0.2270,1.1432,Superheated,0.01294,0.009197
135,57,70,4.83,,0.0000,0.8311,13.3126,128.68,299.31,0.2522,1.0559,0.2275,1.1408,Superheated,0.01306,0.009323
140,60,70,4.83,,0.0000,0.8401,13.4567,129.82,301.96,0.2542,1.0643,0.2280,1.1385,Superheated,0.01317,0.009450
145,63,70,4.83,,0.0000,0.8491,13.6009,130.96,304.61,0.2560,1.0718,0.2286,1.1363,Superheated,0.01328,0.009576
150,65,70,4.83,,0.0000,0.8580,13.7434,132.10,307.26,0.2579,1.0798,0.2291,1.1342,Superheated,0.01339,0.009703
