P=275 psia (149.26 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,275,18.96,89.7492,5.6030,0.0111,0.1778,-2.68,-6.23,-0.0078,-0.0327,0.2968,1.5008,Subcooled,0.52106,0.065995
-45,-43,275,18.96,89.2594,5.5724,0.0112,0.1794,-1.20,-2.79,-0.0042,-0.0176,0.2978,1.5009,Subcooled,0.49792,0.065205
-40,-40,275,18.96,88.7666,5.5417,0.0113,0.1810,0.30,0.70,-0.0006,-0.0025,0.2989,1.5011,Subcooled,0.47630,0.064422
-35,-37,275,18.96,88.2707,5.5107,0.0113,0.1810,1.79,4.16,0.0029,0.0121,0.3000,1.5014,Subcooled,0.45607,0.063645
-30,-34,275,18.96,87.7715,5.4796,0.0114,0.1826,3.30,7.68,0.0064,0.0268,0.3012,1.5018,Subcooled,0.43711,0.062875
-25,-32,275,18.96,87.2687,5.4482,0.0115,0.1842,4.80,11.16,0.0099,0.0414,0.3024,1.5023,Subcooled,0.41928,0.062111
-20,-29,275,18.96,86.7623,5.4166,0.0115,0.1842,6.32,14.70,0.0134,0.0561,0.3036,1.5028,Subcooled,0.40250,0.061353
-15,-26,275,18.96,86.2519,5.3847,0.0116,0.1858,7.84,18.24,0.0168,0.0703,0.3048,1.5034,Subcooled,0.38668,0.060600
-10,-23,275,18.96,85.7374,5.3526,0.0117,0.1874,9.37,21.79,0.0202,0.0846,0.3061,1.5042,Subcooled,0.37174,0.059854
-5,-21,275,18.96,85.2185,5.3202,0.0117,0.1874,10.90,25.35,0.0236,0.0988,0.3074,1.5051,Subcooled,0.35759,0.059112
0,-18,275,18.96,84.6951,5.2875,0.0118,0.1890,12.44,28.94,0.0270,0.1130,0.3087,1.5061,Subcooled,0.34419,0.058376
5,-15,275,18.96,84.1667,5.2545,0.0119,0.1906,13.99,32.54,0.0304,0.1273,0.3101,1.5072,Subcooled,0.33146,0.057645
10,-12,275,18.96,83.6331,5.2212,0.0120,0.1922,15.54,36.15,0.0337,0.1411,0.3116,1.5085,Subcooled,0.31936,0.056918
15,-9,275,18.96,83.0941,5.1875,0.0120,0.1922,17.10,39.77,0.0370,0.1549,0.3131,1.5100,Subcooled,0.30784,0.056195
20,-7,275,18.96,82.5493,5.1535,0.0121,0.1938,18.67,43.43,0.0403,0.1687,0.3146,1.5116,Subcooled,0.29686,0.055477
25,-4,275,18.96,81.9983,5.1191,0.0122,0.1954,20.25,47.10,0.0436,0.1825,0.3162,1.5134,Subcooled,0.28638,0.054762
30,-1,275,18.96,81.4407,5.0843,0.0123,0.1970,21.84,50.80,0.0468,0.1959,0.3178,1.5154,Subcooled,0.27635,0.054051
