P=275 psia (149.26 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
35,2,275,18.96,80.8762,5.0491,0.0124,0.1986,23.43,54.50,0.0500,0.2093,0.3195,1.5177,Subcooled,0.26675,0.053343
40,4,275,18.96,80.3043,5.0134,0.0125,0.2002,25.03,58.22,0.0533,0.2232,0.3213,1.5202,Subcooled,0.25755,0.052638
45,7,275,18.96,79.7245,4.9772,0.0125,0.2002,26.64,61.96,0.0565,0.2366,0.3231,1.5229,Subcooled,0.24872,0.051936
50,10,275,18.96,79.1362,4.9405,0.0126,0.2018,28.26,65.73,0.0597,0.2500,0.3251,1.5260,Subcooled,0.24023,0.051236
55,13,275,18.96,78.5389,4.9032,0.0127,0.2034,29.89,69.52,0.0628,0.2629,0.3271,1.5294,Subcooled,0.23205,0.050537
60,16,275,18.96,77.9320,4.8653,0.0128,0.2050,31.53,73.34,0.0660,0.2763,0.3292,1.5331,Subcooled,0.22418,0.049840
65,18,275,18.96,77.3146,4.8267,0.0129,0.2066,33.18,77.18,0.0692,0.2897,0.3314,1.5372,Subcooled,0.21658,0.049145
70,21,275,18.96,76.6862,4.7875,0.0130,0.2082,34.85,81.06,0.0723,0.3027,0.3337,1.5417,Subcooled,0.20924,0.048449
75,24,275,18.96,76.0457,4.7475,0.0131,0.2098,36.52,84.95,0.0755,0.3161,0.3362,1.5467,Subcooled,0.20214,0.047754
80,27,275,18.96,75.3922,4.7067,0.0133,0.2130,38.21,88.88,0.0786,0.3291,0.3388,1.5523,Subcooled,0.19526,0.047059
85,29,275,18.96,74.7247,4.6650,0.0134,0.2146,39.91,92.83,0.0818,0.3425,0.3416,1.5584,Subcooled,0.18859,0.046362
90,32,275,18.96,74.0419,4.6224,0.0135,0.2162,41.63,96.83,0.0849,0.3555,0.3446,1.5652,Subcooled,0.18211,0.045664
95,35,275,18.96,73.3424,4.5787,0.0136,0.2178,43.36,100.86,0.0880,0.3684,0.3477,1.5728,Subcooled,0.17580,0.044964
100,38,275,18.96,72.6246,4.5339,0.0138,0.2210,45.10,104.90,0.0912,0.3818,0.3511,1.5812,Subcooled,0.16966,0.044260
105,41,275,18.96,71.8868,4.4879,0.0139,0.2227,46.87,109.02,0.0943,0.3948,0.3548,1.5907,Subcooled,0.16367,0.043553
110,43,275,18.96,71.1268,4.4404,0.0141,0.2259,48.65,113.16,0.0975,0.4082,0.3588,1.6013,Subcooled,0.15781,0.042840
115,46,275,18.96,70.3422,4.3914,0.0142,0.2275,50.46,117.37,0.1006,0.4212,0.3632,1.6133,Subcooled,0.15207,0.042122
120,49,275,18.96,69.5300,4.3407,0.0144,0.2307,52.28,121.60,0.1038,0.4346,0.3680,1.6270,Subcooled,0.14643,0.041396
125,52,275,18.96,68.6868,4.2881,0.0146,0.2339,54.14,125.93,0.1070,0.4480,0.3733,1.6426,Subcooled,0.14089,0.040662
130,54,275,18.96,67.8083,4.2333,0.0147,0.2355,56.02,130.30,0.1102,0.4614,0.3793,1.6606,Subcooled,0.13542,0.039917
135,57,275,18.96,66.8892,4.1759,0.0150,0.2403,57.93,134.75,0.1134,0.4748,0.3861,1.6816,Subcooled,0.13001,0.039160
140,60,275,18.96,65.9230,4.1156,0.0152,0.2435,59.88,139.28,0.1167,0.4886,0.3940,1.7064,Subcooled,0.12464,0.038387
145,63,275,18.96,64.9010,4.0518,0.0154,0.2467,61.87,143.91,0.1200,0.5024,0.4032,1.7361,Subcooled,0.11929,0.037596
150,65,275,18.96,6.2627,0.3910,0.1597,2.5581,120.59,280.49,0.2164,0.9060,0.3522,1.5094,Superheated,0.01402,0.011171
