P=35 psia (22.60 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,35,2.41,89.5288,5.5893,0.0112,0.1794,-2.96,-6.88,-0.0073,-0.0306,0.2975,1.5052,Subcooled,0.51210,0.065580
-45,-43,35,2.41,89.0319,5.5582,0.0112,0.1794,-1.47,-3.42,-0.0037,-0.0155,0.2986,1.5055,Subcooled,0.48929,0.064783
-40,-40,35,2.41,88.5317,5.5270,0.0113,0.1810,0.03,0.07,-0.0001,-0.0004,0.2998,1.5059,Subcooled,0.46798,0.063992
-35,-37,35,2.41,88.0280,5.4956,0.0114,0.1826,1.53,3.56,0.0035,0.0147,0.3009,1.5064,Subcooled,0.44803,0.063207
-30,-34,35,2.41,87.5207,5.4639,0.0114,0.1826,3.04,7.07,0.0070,0.0293,0.3021,1.5069,Subcooled,0.42931,0.062428
-25,-32,35,2.41,87.0094,5.4320,0.0115,0.1842,4.55,10.58,0.0105,0.0440,0.3034,1.5076,Subcooled,0.41172,0.061655
-20,-29,35,2.41,86.4939,5.3998,0.0116,0.1858,6.07,14.12,0.0140,0.0586,0.3046,1.5084,Subcooled,0.39515,0.060888
-15,-26,35,2.41,85.9741,5.3673,0.0116,0.1858,7.60,17.68,0.0175,0.0733,0.3059,1.5093,Subcooled,0.37951,0.060127
-10,-23,35,2.41,85.4497,5.3346,0.0117,0.1874,9.13,21.24,0.0209,0.0875,0.3073,1.5103,Subcooled,0.36473,0.059370
-5,-21,35,2.41,84.9203,5.3016,0.0118,0.1890,10.67,24.82,0.0243,0.1017,0.3087,1.5115,Subcooled,0.35074,0.058619
0,-18,35,2.41,84.3857,5.2682,0.0119,0.1906,12.22,28.42,0.0277,0.1160,0.3101,1.5128,Subcooled,0.33747,0.057872
5,-15,35,2.41,83.8456,5.2345,0.0119,0.1906,13.77,32.03,0.0310,0.1298,0.3116,1.5142,Subcooled,0.32487,0.057129
10,-12,35,2.41,83.2997,5.2004,0.0120,0.1922,15.34,35.68,0.0344,0.1440,0.3131,1.5159,Subcooled,0.31289,0.056391
15,-9,35,2.41,82.7475,5.1659,0.0121,0.1938,16.91,39.33,0.0377,0.1578,0.3147,1.5178,Subcooled,0.30147,0.055656
20,-7,35,2.41,82.1886,5.1310,0.0122,0.1954,18.48,42.98,0.0410,0.1717,0.3164,1.5198,Subcooled,0.29057,0.054924
25,-4,35,2.41,0.7429,0.0464,1.3461,21.5618,106.93,248.72,0.2244,0.9395,0.2085,1.1700,Superheated,0.01059,0.006457
30,-1,35,2.41,0.7327,0.0457,1.3647,21.8598,107.97,251.14,0.2265,0.9483,0.2079,1.1655,Superheated,0.01071,0.006583
35,2,35,2.41,0.7230,0.0451,1.3832,22.1561,109.01,253.56,0.2286,0.9571,0.2076,1.1615,Superheated,0.01082,0.006709
40,4,35,2.41,0.7135,0.0445,1.4014,22.4476,110.04,255.95,0.2307,0.9659,0.2075,1.1578,Superheated,0.01094,0.006836
45,7,35,2.41,0.7045,0.0440,1.4195,22.7376,111.08,258.37,0.2328,0.9747,0.2075,1.1545,Superheated,0.01105,0.006963
50,10,35,2.41,0.6957,0.0434,1.4374,23.0243,112.12,260.79,0.2348,0.9831,0.2077,1.1514,Superheated,0.01117,0.007090
55,13,35,2.41,0.6872,0.0429,1.4552,23.3094,113.16,263.21,0.2369,0.9919,0.2080,1.1485,Superheated,0.01128,0.007217
60,16,35,2.41,0.6790,0.0424,1.4728,23.5913,114.20,265.63,0.2389,1.0002,0.2084,1.1458,Superheated,0.01140,0.007344
65,18,35,2.41,0.6710,0.0419,1.4903,23.8716,115.24,268.05,0.2409,1.0086,0.2089,1.1433,Superheated,0.01151,0.007471
70,21,35,2.41,0.6633,0.0414,1.5077,24.1503,116.29,270.49,0.2429,1.0170,0.2094,1.1409,Superheated,0.01162,0.007599
75,24,35,2.41,0.6557,0.0409,1.5250,24.4275,117.34,272.93,0.2448,1.0249,0.2100,1.1386,Superheated,0.01173,0.007726
80,27,35,2.41,0.6484,0.0405,1.5422,24.7030,118.39,275.38,0.2468,1.0333,0.2107,1.1365,Superheated,0.01185,0.007854
85,29,35,2.41,0.6413,0.0400,1.5593,24.9769,119.44,277.82,0.2487,1.0413,0.2113,1.1345,Superheated,0.01196,0.007981
90,32,35,2.41,0.6344,0.0396,1.5763,25.2492,120.50,280.28,0.2507,1.0496,0.2120,1.1326,Superheated,0.01207,0.008109
95,35,35,2.41,0.6277,0.0392,1.5932,25.5199,121.57,282.77,0.2526,1.0576,0.2128,1.1307,Superheated,0.01218,0.008237
100,38,35,2.41,0.6211,0.0388,1.6101,25.7906,122.63,285.24,0.2545,1.0655,0.2135,1.1290,Superheated,0.01229,0.008364
105,41,35,2.41,0.6147,0.0384,1.6269,26.0597,123.70,287.73,0.2564,1.0735,0.2143,1.1273,Superheated,0.01240,0.008492
110,43,35,2.41,0.6084,0.0380,1.6436,26.3272,124.77,290.22,0.2583,1.0815,0.2151,1.1257,Superheated,0.01251,0.008620
115,46,35,2.41,0.6023,0.0376,1.6603,26.5947,125.85,292.73,0.2602,1.0894,0.2160,1.1242,Superheated,0.01262,0.008748
120,49,35,2.41,0.5963,0.0372,1.6769,26.8606,126.93,295.24,0.2621,1.0974,0.2168,1.1227,Superheated,0.01273,0.008876
125,52,35,2.41,0.5905,0.0369,1.6935,27.1265,128.02,297.77,0.2639,1.1049,0.2176,1.1213,Superheated,0.01284,0.009004
130,54,35,2.41,0.5848,0.0365,1.7100,27.3908,129.11,300.31,0.2658,1.1129,0.2185,1.1199,Superheated,0.01295,0.009132
135,57,35,2.41,0.5792,0.0362,1.7264,27.6535,130.21,302.87,0.2676,1.1204,0.2194,1.1186,Superheated,0.01306,0.009260
140,60,35,2.41,0.5738,0.0358,1.7428,27.9162,131.30,305.40,0.2695,1.1283,0.2203,1.1173,Superheated,0.01317,0.009388
145,63,35,2.41,0.5684,0.0355,1.7592,28.1789,132.41,307.99,0.2713,1.1359,0.2212,1.1161,Superheated,0.01328,0.009516
