P=450 psia (190.09 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,450,31.03,89.9066,5.6128,0.0111,0.1778,-2.48,-5.77,-0.0082,-0.0343,0.2962,1.4977,Subcooled,0.52764,0.066293
-45,-43,450,31.03,89.4217,5.5826,0.0112,0.1794,-1.00,-2.33,-0.0046,-0.0193,0.2973,1.4977,Subcooled,0.50424,0.065508
-40,-40,450,31.03,88.9341,5.5521,0.0112,0.1794,0.49,1.14,-0.0010,-0.0042,0.2983,1.4978,Subcooled,0.48240,0.064730
-35,-37,450,31.03,88.4436,5.5215,0.0113,0.1810,1.98,4.61,0.0025,0.0105,0.2994,1.4980,Subcooled,0.46196,0.063959
-30,-34,450,31.03,87.9499,5.4907,0.0114,0.1826,3.48,8.09,0.0060,0.0251,0.3005,1.4982,Subcooled,0.44281,0.063195
-25,-32,450,31.03,87.4531,5.4597,0.0114,0.1826,4.99,11.61,0.0095,0.0398,0.3017,1.4985,Subcooled,0.42481,0.062436
-20,-29,450,31.03,86.9528,5.4284,0.0115,0.1842,6.50,15.12,0.0130,0.0544,0.3028,1.4989,Subcooled,0.40788,0.061685
-15,-26,450,31.03,86.4489,5.3970,0.0116,0.1858,8.02,18.65,0.0164,0.0687,0.3040,1.4994,Subcooled,0.39191,0.060939
-10,-23,450,31.03,85.9413,5.3653,0.0116,0.1858,9.54,22.19,0.0198,0.0829,0.3053,1.5000,Subcooled,0.37684,0.060199
-5,-21,450,31.03,85.4296,5.3333,0.0117,0.1874,11.07,25.75,0.0232,0.0971,0.3065,1.5007,Subcooled,0.36258,0.059464
0,-18,450,31.03,84.9136,5.3011,0.0118,0.1890,12.61,29.33,0.0265,0.1110,0.3078,1.5015,Subcooled,0.34907,0.058735
5,-15,450,31.03,84.3932,5.2686,0.0118,0.1890,14.15,32.91,0.0299,0.1252,0.3092,1.5024,Subcooled,0.33625,0.058011
10,-12,450,31.03,83.8681,5.2359,0.0119,0.1906,15.70,36.52,0.0332,0.1390,0.3105,1.5034,Subcooled,0.32406,0.057293
15,-9,450,31.03,83.3380,5.2028,0.0120,0.1922,17.26,40.15,0.0365,0.1528,0.3119,1.5046,Subcooled,0.31247,0.056578
20,-7,450,31.03,82.8026,5.1693,0.0121,0.1938,18.82,43.78,0.0398,0.1666,0.3134,1.5060,Subcooled,0.30141,0.055868
25,-4,450,31.03,82.2615,5.1356,0.0122,0.1954,20.39,47.43,0.0430,0.1800,0.3149,1.5075,Subcooled,0.29087,0.055163
30,-1,450,31.03,81.7146,5.1014,0.0122,0.1954,21.97,51.10,0.0463,0.1938,0.3165,1.5092,Subcooled,0.28079,0.054461
35,2,450,31.03,81.1614,5.0669,0.0123,0.1970,23.55,54.78,0.0495,0.2072,0.3181,1.5111,Subcooled,0.27114,0.053763
40,4,450,31.03,80.6015,5.0319,0.0124,0.1986,25.15,58.50,0.0527,0.2206,0.3197,1.5132,Subcooled,0.26190,0.053069
45,7,450,31.03,80.0346,4.9965,0.0125,0.2002,26.75,62.22,0.0559,0.2340,0.3215,1.5155,Subcooled,0.25304,0.052378
50,10,450,31.03,79.4601,4.9607,0.0126,0.2018,28.36,65.97,0.0591,0.2474,0.3233,1.5181,Subcooled,0.24452,0.051689
55,13,450,31.03,78.8776,4.9243,0.0127,0.2034,29.98,69.73,0.0622,0.2604,0.3251,1.5209,Subcooled,0.23633,0.051003
60,16,450,31.03,78.2866,4.8874,0.0128,0.2050,31.61,73.52,0.0654,0.2738,0.3271,1.5240,Subcooled,0.22844,0.050319
65,18,450,31.03,77.6864,4.8499,0.0129,0.2066,33.26,77.36,0.0685,0.2868,0.3291,1.5275,Subcooled,0.22084,0.049638
70,21,450,31.03,77.0764,4.8119,0.0130,0.2082,34.91,81.20,0.0717,0.3002,0.3313,1.5312,Subcooled,0.21350,0.048957
75,24,450,31.03,76.4561,4.7731,0.0131,0.2098,36.57,85.06,0.0748,0.3132,0.3335,1.5354,Subcooled,0.20641,0.048278
80,27,450,31.03,75.8244,4.7337,0.0132,0.2114,38.24,88.95,0.0779,0.3262,0.3359,1.5400,Subcooled,0.19955,0.047599
85,29,450,31.03,75.1807,4.6935,0.0133,0.2130,39.93,92.88,0.0810,0.3391,0.3383,1.5451,Subcooled,0.19290,0.046921
90,32,450,31.03,74.5240,4.6525,0.0134,0.2146,41.63,96.83,0.0841,0.3521,0.3410,1.5506,Subcooled,0.18645,0.046243
95,35,450,31.03,73.8532,4.6106,0.0135,0.2162,43.34,100.81,0.0872,0.3651,0.3438,1.5568,Subcooled,0.18019,0.045564
100,38,450,31.03,73.1672,4.5678,0.0137,0.2194,45.06,104.81,0.0903,0.3781,0.3467,1.5636,Subcooled,0.17410,0.044883
105,41,450,31.03,72.4645,4.5239,0.0138,0.2210,46.80,108.86,0.0934,0.3910,0.3499,1.5712,Subcooled,0.16817,0.044201
110,43,450,31.03,71.7437,4.4789,0.0139,0.2227,48.56,112.95,0.0965,0.4040,0.3533,1.5796,Subcooled,0.16239,0.043516
115,46,450,31.03,71.0031,4.4327,0.0141,0.2259,50.34,117.09,0.0996,0.4170,0.3570,1.5890,Subcooled,0.15674,0.042827
120,49,450,31.03,70.2406,4.3851,0.0142,0.2275,52.13,121.25,0.1027,0.4300,0.3610,1.5995,Subcooled,0.15121,0.042135
125,52,450,31.03,69.4540,4.3360,0.0144,0.2307,53.95,125.49,0.1058,0.4430,0.3653,1.6113,Subcooled,0.14580,0.041437
130,54,450,31.03,68.6404,4.2852,0.0146,0.2339,55.79,129.77,0.1090,0.4564,0.3700,1.6246,Subcooled,0.14048,0.040734
135,57,450,31.03,67.7968,4.2325,0.0147,0.2355,57.65,134.09,0.1121,0.4693,0.3753,1.6397,Subcooled,0.13525,0.040022
140,60,450,31.03,66.9192,4.1778,0.0149,0.2387,59.54,138.49,0.1153,0.4827,0.3811,1.6571,Subcooled,0.13009,0.039302
145,63,450,31.03,66.0029,4.1205,0.0152,0.2435,61.46,142.96,0.1185,0.4961,0.3877,1.6771,Subcooled,0.12499,0.038572
150,65,450,31.03,65.0421,4.0606,0.0154,0.2467,63.42,147.51,0.1217,0.5095,0.3952,1.7005,Subcooled,0.11993,0.037829
