P=125 psia (93.14 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,125,8.62,89.6121,5.5945,0.0112,0.1794,-2.85,-6.63,-0.0075,-0.0314,0.2972,1.5035,Subcooled,0.51545,0.065737
-45,-43,125,8.62,89.1179,5.5636,0.0112,0.1794,-1.37,-3.19,-0.0039,-0.0163,0.2983,1.5038,Subcooled,0.49252,0.064942
-40,-40,125,8.62,88.6206,5.5326,0.0113,0.1810,0.13,0.30,-0.0003,-0.0013,0.2994,1.5041,Subcooled,0.47110,0.064154
-35,-37,125,8.62,88.1198,5.5013,0.0113,0.1810,1.63,3.79,0.0033,0.0138,0.3006,1.5045,Subcooled,0.45104,0.063372
-30,-34,125,8.62,87.6156,5.4698,0.0114,0.1826,3.14,7.30,0.0068,0.0285,0.3018,1.5050,Subcooled,0.43223,0.062597
-25,-32,125,8.62,87.1075,5.4381,0.0115,0.1842,4.65,10.82,0.0103,0.0431,0.3030,1.5056,Subcooled,0.41455,0.061827
-20,-29,125,8.62,86.5956,5.4061,0.0115,0.1842,6.16,14.33,0.0138,0.0578,0.3042,1.5062,Subcooled,0.39790,0.061064
-15,-26,125,8.62,86.0794,5.3739,0.0116,0.1858,7.69,17.89,0.0172,0.0720,0.3055,1.5070,Subcooled,0.38220,0.060306
-10,-23,125,8.62,85.5587,5.3414,0.0117,0.1874,9.22,21.45,0.0206,0.0862,0.3068,1.5080,Subcooled,0.36736,0.059553
-5,-21,125,8.62,85.0334,5.3086,0.0118,0.1890,10.76,25.03,0.0240,0.1005,0.3082,1.5090,Subcooled,0.35331,0.058805
0,-18,125,8.62,84.5031,5.2755,0.0118,0.1890,12.30,28.61,0.0274,0.1147,0.3096,1.5102,Subcooled,0.33999,0.058063
5,-15,125,8.62,83.9675,5.2421,0.0119,0.1906,13.85,32.22,0.0308,0.1290,0.3110,1.5115,Subcooled,0.32735,0.057324
10,-12,125,8.62,83.4263,5.2083,0.0120,0.1922,15.41,35.84,0.0341,0.1428,0.3125,1.5131,Subcooled,0.31532,0.056590
15,-9,125,8.62,82.8792,5.1741,0.0121,0.1938,16.98,39.50,0.0374,0.1566,0.3141,1.5148,Subcooled,0.30386,0.055860
20,-7,125,8.62,82.3258,5.1396,0.0121,0.1938,18.55,43.15,0.0407,0.1704,0.3157,1.5167,Subcooled,0.29294,0.055134
25,-4,125,8.62,81.7656,5.1046,0.0122,0.1954,20.14,46.85,0.0440,0.1842,0.3173,1.5188,Subcooled,0.28250,0.054411
30,-1,125,8.62,81.1983,5.0692,0.0123,0.1970,21.73,50.54,0.0473,0.1980,0.3191,1.5211,Subcooled,0.27252,0.053691
35,2,125,8.62,80.6234,5.0333,0.0124,0.1986,23.33,54.27,0.0505,0.2114,0.3209,1.5237,Subcooled,0.26295,0.052974
40,4,125,8.62,80.0403,4.9969,0.0125,0.2002,24.94,58.01,0.0538,0.2252,0.3227,1.5266,Subcooled,0.25378,0.052259
45,7,125,8.62,79.4485,4.9600,0.0126,0.2018,26.55,61.76,0.0570,0.2386,0.3247,1.5298,Subcooled,0.24497,0.051546
50,10,125,8.62,78.8474,4.9224,0.0127,0.2034,28.18,65.55,0.0602,0.2520,0.3268,1.5333,Subcooled,0.23649,0.050835
55,13,125,8.62,78.2362,4.8843,0.0128,0.2050,29.82,69.36,0.0634,0.2654,0.3289,1.5372,Subcooled,0.22833,0.050125
60,16,125,8.62,77.6143,4.8454,0.0129,0.2066,31.47,73.20,0.0666,0.2788,0.3312,1.5416,Subcooled,0.22046,0.049416
65,18,125,8.62,76.9807,4.8059,0.0130,0.2082,33.13,77.06,0.0698,0.2922,0.3336,1.5463,Subcooled,0.21286,0.048707
70,21,125,8.62,76.3346,4.7656,0.0131,0.2098,34.81,80.97,0.0729,0.3052,0.3361,1.5516,Subcooled,0.20551,0.047997
75,24,125,8.62,75.6748,4.7244,0.0132,0.2114,36.49,84.88,0.0761,0.3186,0.3388,1.5575,Subcooled,0.19840,0.047287
80,27,125,8.62,75.0003,4.6823,0.0133,0.2130,38.20,88.85,0.0793,0.3320,0.3417,1.5640,Subcooled,0.19149,0.046575
85,29,125,8.62,74.3095,4.6391,0.0135,0.2162,39.91,92.83,0.0825,0.3454,0.3448,1.5713,Subcooled,0.18479,0.045860
90,32,125,8.62,73.6010,4.5949,0.0136,0.2178,41.64,96.85,0.0856,0.3584,0.3481,1.5795,Subcooled,0.17826,0.045143
95,35,125,8.62,2.6124,0.1631,0.3828,6.1317,116.02,269.86,0.2202,0.9219,0.2600,1.2594,Superheated,0.01213,0.008573
100,38,125,8.62,2.5654,0.1602,0.3898,6.2438,117.31,272.86,0.2225,0.9316,0.2562,1.2465,Superheated,0.01225,0.008679
