P=125 psia (93.14 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
105,41,125,8.62,2.5213,0.1574,0.3966,6.3527,118.59,275.84,0.2248,0.9412,0.2532,1.2353,Superheated,0.01237,0.008789
110,43,125,8.62,2.4797,0.1548,0.4033,6.4601,119.85,278.77,0.2270,0.9504,0.2509,1.2255,Superheated,0.01249,0.008901
115,46,125,8.62,2.4403,0.1523,0.4098,6.5642,121.10,281.68,0.2292,0.9596,0.2490,1.2168,Superheated,0.01261,0.009014
120,49,125,8.62,2.4030,0.1500,0.4161,6.6651,122.34,284.56,0.2313,0.9684,0.2475,1.2091,Superheated,0.01273,0.009130
125,52,125,8.62,2.3674,0.1478,0.4224,6.7660,123.57,287.42,0.2334,0.9772,0.2463,1.2020,Superheated,0.01285,0.009246
130,54,125,8.62,2.3334,0.1457,0.4286,6.8653,124.80,290.28,0.2355,0.9860,0.2453,1.1957,Superheated,0.01297,0.009364
135,57,125,8.62,2.3010,0.1437,0.4346,6.9614,126.03,293.15,0.2376,0.9948,0.2446,1.1898,Superheated,0.01309,0.009483
140,60,125,8.62,2.2698,0.1417,0.4406,7.0575,127.25,295.98,0.2396,1.0032,0.2441,1.1845,Superheated,0.01320,0.009603
145,63,125,8.62,2.2399,0.1398,0.4465,7.1520,128.47,298.82,0.2417,1.0119,0.2437,1.1795,Superheated,0.01332,0.009723
150,65,125,8.62,2.2111,0.1380,0.4523,7.2449,129.68,301.64,0.2437,1.0203,0.2434,1.1749,Superheated,0.01344,0.009844
