P=175 psia (115.75 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,175,12.07,89.6580,5.5973,0.0112,0.1794,-2.80,-6.51,-0.0076,-0.0318,0.2971,1.5026,Subcooled,0.51732,0.065823
-45,-43,175,12.07,89.1653,5.5666,0.0112,0.1794,-1.31,-3.05,-0.0040,-0.0167,0.2982,1.5028,Subcooled,0.49431,0.065030
-40,-40,175,12.07,88.6695,5.5356,0.0113,0.1810,0.18,0.42,-0.0004,-0.0017,0.2993,1.5031,Subcooled,0.47283,0.064244
-35,-37,175,12.07,88.1704,5.5045,0.0113,0.1810,1.68,3.91,0.0032,0.0134,0.3004,1.5035,Subcooled,0.45272,0.063464
-30,-34,175,12.07,87.6678,5.4731,0.0114,0.1826,3.19,7.42,0.0067,0.0281,0.3016,1.5039,Subcooled,0.43386,0.062690
-25,-32,175,12.07,87.1616,5.4415,0.0115,0.1842,4.70,10.93,0.0102,0.0427,0.3028,1.5044,Subcooled,0.41613,0.061922
-20,-29,175,12.07,86.6515,5.4096,0.0115,0.1842,6.22,14.47,0.0136,0.0569,0.3040,1.5051,Subcooled,0.39944,0.061161
-15,-26,175,12.07,86.1373,5.3775,0.0116,0.1858,7.74,18.00,0.0171,0.0716,0.3053,1.5058,Subcooled,0.38369,0.060405
-10,-23,175,12.07,85.6187,5.3452,0.0117,0.1874,9.27,21.56,0.0205,0.0858,0.3066,1.5067,Subcooled,0.36882,0.059654
-5,-21,175,12.07,85.0956,5.3125,0.0118,0.1890,10.81,25.14,0.0239,0.1001,0.3079,1.5077,Subcooled,0.35474,0.058908
0,-18,175,12.07,84.5676,5.2795,0.0118,0.1890,12.35,28.73,0.0273,0.1143,0.3093,1.5088,Subcooled,0.34139,0.058168
5,-15,175,12.07,84.0344,5.2462,0.0119,0.1906,13.90,32.33,0.0306,0.1281,0.3107,1.5101,Subcooled,0.32872,0.057432
10,-12,175,12.07,83.4958,5.2126,0.0120,0.1922,15.46,35.96,0.0340,0.1424,0.3122,1.5115,Subcooled,0.31667,0.056700
15,-9,175,12.07,82.9515,5.1786,0.0121,0.1938,17.02,39.59,0.0373,0.1562,0.3137,1.5131,Subcooled,0.30519,0.055973
20,-7,175,12.07,82.4010,5.1443,0.0121,0.1938,18.59,43.24,0.0406,0.1700,0.3153,1.5149,Subcooled,0.29425,0.055249
25,-4,175,12.07,81.8439,5.1095,0.0122,0.1954,20.17,46.92,0.0439,0.1838,0.3169,1.5169,Subcooled,0.28380,0.054529
30,-1,175,12.07,81.2799,5.0743,0.0123,0.1970,21.76,50.61,0.0471,0.1972,0.3186,1.5192,Subcooled,0.27380,0.053812
35,2,175,12.07,80.7086,5.0386,0.0124,0.1986,23.36,54.34,0.0504,0.2110,0.3204,1.5217,Subcooled,0.26422,0.053098
40,4,175,12.07,80.1293,5.0025,0.0125,0.2002,24.97,58.08,0.0536,0.2244,0.3222,1.5244,Subcooled,0.25504,0.052387
45,7,175,12.07,79.5416,4.9658,0.0126,0.2018,26.58,61.83,0.0568,0.2378,0.3242,1.5275,Subcooled,0.24622,0.051677
50,10,175,12.07,78.9449,4.9285,0.0127,0.2034,28.21,65.62,0.0600,0.2512,0.3262,1.5308,Subcooled,0.23774,0.050970
55,13,175,12.07,78.3385,4.8907,0.0128,0.2050,29.84,69.41,0.0632,0.2646,0.3283,1.5345,Subcooled,0.22958,0.050264
60,16,175,12.07,77.7217,4.8521,0.0129,0.2066,31.49,73.25,0.0664,0.2780,0.3305,1.5386,Subcooled,0.22171,0.049559
65,18,175,12.07,77.0937,4.8129,0.0130,0.2082,33.15,77.11,0.0696,0.2914,0.3328,1.5432,Subcooled,0.21411,0.048854
