P=175 psia (115.75 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
70,21,175,12.07,76.4537,4.7730,0.0131,0.2098,34.82,80.99,0.0727,0.3044,0.3353,1.5482,Subcooled,0.20676,0.048150
75,24,175,12.07,75.8006,4.7322,0.0132,0.2114,36.50,84.90,0.0759,0.3178,0.3379,1.5538,Subcooled,0.19965,0.047445
80,27,175,12.07,75.1333,4.6906,0.0133,0.2130,38.20,88.85,0.0791,0.3312,0.3407,1.5600,Subcooled,0.19276,0.046738
85,29,175,12.07,74.4506,4.6479,0.0134,0.2146,39.91,92.83,0.0822,0.3442,0.3437,1.5668,Subcooled,0.18607,0.046030
90,32,175,12.07,73.7511,4.6043,0.0136,0.2178,41.64,96.85,0.0854,0.3576,0.3468,1.5745,Subcooled,0.17956,0.045319
95,35,175,12.07,73.0330,4.5594,0.0137,0.2194,43.38,100.90,0.0885,0.3705,0.3503,1.5831,Subcooled,0.17322,0.044605
100,38,175,12.07,72.2946,4.5133,0.0138,0.2210,45.14,105.00,0.0917,0.3839,0.3540,1.5927,Subcooled,0.16704,0.043887
105,41,175,12.07,71.5337,4.4658,0.0140,0.2243,46.92,109.14,0.0949,0.3973,0.3580,1.6035,Subcooled,0.16100,0.043163
110,43,175,12.07,70.7476,4.4168,0.0141,0.2259,48.72,113.32,0.0980,0.4103,0.3625,1.6158,Subcooled,0.15508,0.042432
115,46,175,12.07,69.9332,4.3659,0.0143,0.2291,50.54,117.56,0.1012,0.4237,0.3674,1.6298,Subcooled,0.14927,0.041694
120,49,175,12.07,3.6872,0.2302,0.2712,4.3441,119.08,276.98,0.2203,0.9224,0.2828,1.3109,Superheated,0.01282,0.009468
125,52,175,12.07,3.6119,0.2255,0.2769,4.4354,120.48,280.24,0.2227,0.9324,0.2773,1.2923,Superheated,0.01294,0.009555
130,54,175,12.07,3.5421,0.2211,0.2823,4.5219,121.86,283.45,0.2251,0.9424,0.2729,1.2764,Superheated,0.01306,0.009647
135,57,175,12.07,3.4770,0.2171,0.2876,4.6068,123.21,286.59,0.2274,0.9521,0.2693,1.2627,Superheated,0.01318,0.009744
140,60,175,12.07,3.4159,0.2133,0.2928,4.6901,124.55,289.70,0.2296,0.9613,0.2664,1.2507,Superheated,0.01329,0.009846
145,63,175,12.07,3.3583,0.2097,0.2978,4.7702,125.88,292.80,0.2318,0.9705,0.2641,1.2400,Superheated,0.01341,0.009950
150,65,175,12.07,3.3040,0.2063,0.3027,4.8486,127.19,295.84,0.2340,0.9797,0.2621,1.2305,Superheated,0.01353,0.010057
