P=30 psia (15.40 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,30,2.07,89.5241,5.5890,0.0112,0.1794,-2.96,-6.88,-0.0073,-0.0306,0.2975,1.5053,Subcooled,0.51191,0.065572
-45,-43,30,2.07,89.0271,5.5579,0.0112,0.1794,-1.47,-3.42,-0.0036,-0.0151,0.2986,1.5056,Subcooled,0.48911,0.064774
-40,-40,30,2.07,88.5268,5.5267,0.0113,0.1810,0.02,0.05,-0.0001,-0.0004,0.2998,1.5060,Subcooled,0.46781,0.063982
-35,-37,30,2.07,88.0229,5.4952,0.0114,0.1826,1.53,3.56,0.0035,0.0147,0.3010,1.5065,Subcooled,0.44786,0.063198
-30,-34,30,2.07,87.5154,5.4636,0.0114,0.1826,3.03,7.05,0.0070,0.0293,0.3022,1.5071,Subcooled,0.42915,0.062419
-25,-32,30,2.07,87.0039,5.4316,0.0115,0.1842,4.55,10.58,0.0105,0.0440,0.3034,1.5077,Subcooled,0.41156,0.061646
-20,-29,30,2.07,86.4883,5.3994,0.0116,0.1858,6.07,14.12,0.0140,0.0586,0.3047,1.5085,Subcooled,0.39499,0.060879
-15,-26,30,2.07,85.9682,5.3670,0.0116,0.1858,7.59,17.65,0.0175,0.0733,0.3060,1.5094,Subcooled,0.37936,0.060117
-10,-23,30,2.07,85.4436,5.3342,0.0117,0.1874,9.13,21.24,0.0209,0.0875,0.3073,1.5104,Subcooled,0.36459,0.059360
-5,-21,30,2.07,84.9140,5.3012,0.0118,0.1890,10.67,24.82,0.0243,0.1017,0.3087,1.5116,Subcooled,0.35060,0.058608
0,-18,30,2.07,84.3792,5.2678,0.0119,0.1906,12.22,28.42,0.0277,0.1160,0.3101,1.5129,Subcooled,0.33733,0.057861
5,-15,30,2.07,83.8388,5.2340,0.0119,0.1906,13.77,32.03,0.0310,0.1298,0.3116,1.5144,Subcooled,0.32474,0.057118
10,-12,30,2.07,83.2926,5.1999,0.0120,0.1922,15.33,35.66,0.0344,0.1440,0.3132,1.5161,Subcooled,0.31275,0.056379
15,-9,30,2.07,82.7401,5.1654,0.0121,0.1938,16.90,39.31,0.0377,0.1578,0.3147,1.5179,Subcooled,0.30133,0.055644
20,-7,30,2.07,0.6373,0.0398,1.5691,25.1338,106.34,247.35,0.2260,0.9462,0.2044,1.1637,Superheated,0.01050,0.006315
25,-4,30,2.07,0.6288,0.0393,1.5903,25.4734,107.36,249.72,0.2281,0.9550,0.2041,1.1598,Superheated,0.01061,0.006442
30,-1,30,2.07,0.6206,0.0387,1.6114,25.8114,108.38,252.09,0.2302,0.9638,0.2040,1.1562,Superheated,0.01073,0.006569
35,2,30,2.07,0.6127,0.0383,1.6322,26.1446,109.40,254.46,0.2323,0.9726,0.2041,1.1530,Superheated,0.01084,0.006696
40,4,30,2.07,0.6050,0.0378,1.6528,26.4746,110.42,256.84,0.2343,0.9810,0.2043,1.1500,Superheated,0.01096,0.006823
45,7,30,2.07,0.5976,0.0373,1.6732,26.8013,111.44,259.21,0.2363,0.9893,0.2046,1.1472,Superheated,0.01107,0.006951
50,10,30,2.07,0.5905,0.0369,1.6936,27.1281,112.47,261.61,0.2384,0.9981,0.2051,1.1446,Superheated,0.01118,0.007078
55,13,30,2.07,0.5835,0.0364,1.7137,27.4500,113.49,263.98,0.2404,1.0065,0.2056,1.1421,Superheated,0.01130,0.007206
60,16,30,2.07,0.5768,0.0360,1.7338,27.7720,114.52,266.37,0.2424,1.0149,0.2062,1.1398,Superheated,0.01141,0.007333
65,18,30,2.07,0.5702,0.0356,1.7537,28.0908,115.56,268.79,0.2443,1.0228,0.2068,1.1377,Superheated,0.01152,0.007461
70,21,30,2.07,0.5638,0.0352,1.7736,28.4095,116.59,271.19,0.2463,1.0312,0.2075,1.1356,Superheated,0.01163,0.007589
75,24,30,2.07,0.5576,0.0348,1.7933,28.7251,117.63,273.61,0.2482,1.0392,0.2082,1.1337,Superheated,0.01174,0.007716
80,27,30,2.07,0.5516,0.0344,1.8130,29.0406,118.67,276.03,0.2502,1.0475,0.2089,1.1318,Superheated,0.01185,0.007844
85,29,30,2.07,0.5457,0.0341,1.8325,29.3530,119.72,278.47,0.2521,1.0555,0.2097,1.1300,Superheated,0.01197,0.007972
