P=150 psia (105.16 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,150,10.34,89.6351,5.5959,0.0112,0.1794,-2.83,-6.58,-0.0075,-0.0314,0.2972,1.5030,Subcooled,0.51638,0.065780
-45,-43,150,10.34,89.1416,5.5651,0.0112,0.1794,-1.34,-3.12,-0.0039,-0.0163,0.2982,1.5033,Subcooled,0.49342,0.064986
-40,-40,150,10.34,88.6451,5.5341,0.0113,0.1810,0.16,0.37,-0.0003,-0.0013,0.2994,1.5036,Subcooled,0.47196,0.064199
-35,-37,150,10.34,88.1452,5.5029,0.0113,0.1810,1.66,3.86,0.0032,0.0134,0.3005,1.5040,Subcooled,0.45188,0.063418
-30,-34,150,10.34,87.6417,5.4715,0.0114,0.1826,3.16,7.35,0.0067,0.0281,0.3017,1.5044,Subcooled,0.43304,0.062643
-25,-32,150,10.34,87.1346,5.4398,0.0115,0.1842,4.67,10.86,0.0102,0.0427,0.3029,1.5050,Subcooled,0.41534,0.061875
-20,-29,150,10.34,86.6236,5.4079,0.0115,0.1842,6.19,14.40,0.0137,0.0574,0.3041,1.5057,Subcooled,0.39867,0.061112
-15,-26,150,10.34,86.1084,5.3757,0.0116,0.1858,7.71,17.93,0.0172,0.0720,0.3054,1.5064,Subcooled,0.38295,0.060355
-10,-23,150,10.34,85.5888,5.3433,0.0117,0.1874,9.24,21.49,0.0206,0.0862,0.3067,1.5073,Subcooled,0.36809,0.059604
-5,-21,150,10.34,85.0645,5.3106,0.0118,0.1890,10.78,25.07,0.0240,0.1005,0.3080,1.5083,Subcooled,0.35403,0.058857
0,-18,150,10.34,84.5354,5.2775,0.0118,0.1890,12.33,28.68,0.0274,0.1147,0.3094,1.5095,Subcooled,0.34069,0.058115
5,-15,150,10.34,84.0010,5.2442,0.0119,0.1906,13.88,32.28,0.0307,0.1285,0.3109,1.5108,Subcooled,0.32803,0.057378
10,-12,150,10.34,83.4612,5.2105,0.0120,0.1922,15.43,35.89,0.0340,0.1424,0.3124,1.5123,Subcooled,0.31600,0.056645
15,-9,150,10.34,82.9154,5.1764,0.0121,0.1938,17.00,39.54,0.0374,0.1566,0.3139,1.5139,Subcooled,0.30453,0.055917
20,-7,150,10.34,82.3634,5.1419,0.0121,0.1938,18.57,43.19,0.0407,0.1704,0.3155,1.5158,Subcooled,0.29359,0.055192
25,-4,150,10.34,81.8049,5.1071,0.0122,0.1954,20.15,46.87,0.0439,0.1838,0.3171,1.5179,Subcooled,0.28315,0.054470
30,-1,150,10.34,81.2392,5.0717,0.0123,0.1970,21.74,50.57,0.0472,0.1976,0.3188,1.5201,Subcooled,0.27316,0.053752
35,2,150,10.34,80.6661,5.0360,0.0124,0.1986,23.34,54.29,0.0504,0.2110,0.3206,1.5227,Subcooled,0.26359,0.053036
40,4,150,10.34,80.0849,4.9997,0.0125,0.2002,24.95,58.03,0.0537,0.2248,0.3225,1.5255,Subcooled,0.25441,0.052323
45,7,150,10.34,79.4952,4.9629,0.0126,0.2018,26.57,61.80,0.0569,0.2382,0.3244,1.5286,Subcooled,0.24560,0.051612
50,10,150,10.34,78.8963,4.9255,0.0127,0.2034,28.20,65.59,0.0601,0.2516,0.3265,1.5321,Subcooled,0.23712,0.050903
55,13,150,10.34,78.2875,4.8875,0.0128,0.2050,29.83,69.38,0.0633,0.2650,0.3286,1.5359,Subcooled,0.22896,0.050195
60,16,150,10.34,77.6682,4.8488,0.0129,0.2066,31.48,73.22,0.0665,0.2784,0.3308,1.5401,Subcooled,0.22109,0.049488
65,18,150,10.34,77.0374,4.8094,0.0130,0.2082,33.14,77.08,0.0697,0.2918,0.3332,1.5448,Subcooled,0.21349,0.048781
70,21,150,10.34,76.3944,4.7693,0.0131,0.2098,34.81,80.97,0.0728,0.3048,0.3357,1.5499,Subcooled,0.20614,0.048074
75,24,150,10.34,75.7380,4.7283,0.0132,0.2114,36.50,84.90,0.0760,0.3182,0.3384,1.5556,Subcooled,0.19903,0.047366
80,27,150,10.34,75.0671,4.6864,0.0133,0.2130,38.20,88.85,0.0792,0.3316,0.3412,1.5620,Subcooled,0.19213,0.046657
85,29,150,10.34,74.3804,4.6436,0.0134,0.2146,39.91,92.83,0.0823,0.3446,0.3442,1.5691,Subcooled,0.18543,0.045946
90,32,150,10.34,73.6765,4.5996,0.0136,0.2178,41.64,96.85,0.0855,0.3580,0.3475,1.5770,Subcooled,0.17891,0.045231
95,35,150,10.34,72.9535,4.5545,0.0137,0.2194,43.39,100.93,0.0887,0.3714,0.3510,1.5858,Subcooled,0.17257,0.044514
100,38,150,10.34,72.2096,4.5080,0.0138,0.2210,45.15,105.02,0.0918,0.3843,0.3548,1.5957,Subcooled,0.16637,0.043791
105,41,150,10.34,71.4424,4.4601,0.0140,0.2243,46.93,109.16,0.0950,0.3977,0.3589,1.6069,Subcooled,0.16032,0.043063
110,43,150,10.34,3.1228,0.1950,0.3202,5.1290,118.15,274.82,0.2211,0.9257,0.2697,1.2787,Superheated,0.01252,0.009066
115,46,150,10.34,3.0640,0.1913,0.3264,5.2283,119.49,277.93,0.2234,0.9353,0.2655,1.2640,Superheated,0.01264,0.009165
120,49,150,10.34,3.0090,0.1879,0.3323,5.3228,120.80,280.98,0.2257,0.9450,0.2621,1.2512,Superheated,0.01276,0.009268
125,52,150,10.34,2.9574,0.1846,0.3381,5.4157,122.11,284.03,0.2279,0.9542,0.2594,1.2401,Superheated,0.01288,0.009374
130,54,150,10.34,2.9087,0.1816,0.3438,5.5070,123.40,287.03,0.2301,0.9634,0.2572,1.2302,Superheated,0.01300,0.009483
135,57,150,10.34,2.8625,0.1787,0.3493,5.5951,124.68,290.01,0.2323,0.9726,0.2554,1.2214,Superheated,0.01312,0.009594
140,60,150,10.34,2.8187,0.1760,0.3548,5.6832,125.95,292.96,0.2344,0.9814,0.2539,1.2135,Superheated,0.01324,0.009707
145,63,150,10.34,2.7770,0.1734,0.3601,5.7681,127.22,295.91,0.2365,0.9902,0.2528,1.2063,Superheated,0.01336,0.009821
150,65,150,10.34,2.7372,0.1709,0.3653,5.8514,128.48,298.84,0.2386,0.9990,0.2518,1.1997,Superheated,0.01347,0.009937
