P=50 psia (40.27 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,50,3.45,89.5427,5.5901,0.0112,0.1794,-2.94,-6.84,-0.0073,-0.0306,0.2975,1.5049,Subcooled,0.51265,0.065606
-45,-43,50,3.45,89.0463,5.5591,0.0112,0.1794,-1.45,-3.37,-0.0037,-0.0155,0.2986,1.5052,Subcooled,0.48983,0.064809
-40,-40,50,3.45,88.5466,5.5279,0.0113,0.1810,0.05,0.12,-0.0001,-0.0004,0.2997,1.5056,Subcooled,0.46850,0.064019
-35,-37,50,3.45,88.0434,5.4965,0.0114,0.1826,1.55,3.61,0.0035,0.0147,0.3009,1.5061,Subcooled,0.44853,0.063234
-30,-34,50,3.45,87.5366,5.4649,0.0114,0.1826,3.06,7.12,0.0070,0.0293,0.3021,1.5066,Subcooled,0.42980,0.062456
-25,-32,50,3.45,87.0258,5.4330,0.0115,0.1842,4.57,10.63,0.0105,0.0440,0.3033,1.5073,Subcooled,0.41219,0.061684
-20,-29,50,3.45,86.5110,5.4009,0.0116,0.1858,6.09,14.17,0.0140,0.0586,0.3046,1.5080,Subcooled,0.39561,0.060918
-15,-26,50,3.45,85.9918,5.3684,0.0116,0.1858,7.61,17.70,0.0174,0.0729,0.3059,1.5089,Subcooled,0.37996,0.060157
-10,-23,50,3.45,85.4680,5.3357,0.0117,0.1874,9.15,21.28,0.0208,0.0871,0.3072,1.5099,Subcooled,0.36517,0.059401
-5,-21,50,3.45,84.9393,5.3027,0.0118,0.1890,10.69,24.86,0.0242,0.1013,0.3086,1.5110,Subcooled,0.35117,0.058650
0,-18,50,3.45,84.4054,5.2694,0.0118,0.1890,12.23,28.45,0.0276,0.1156,0.3100,1.5123,Subcooled,0.33790,0.057904
5,-15,50,3.45,83.8661,5.2357,0.0119,0.1906,13.79,32.08,0.0310,0.1298,0.3115,1.5138,Subcooled,0.32529,0.057162
