P=40 psia (29.05 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,40,2.76,89.5334,5.5895,0.0112,0.1794,-2.95,-6.86,-0.0073,-0.0306,0.2975,1.5051,Subcooled,0.51228,0.065589
-45,-43,40,2.76,89.0367,5.5585,0.0112,0.1794,-1.46,-3.40,-0.0037,-0.0155,0.2986,1.5054,Subcooled,0.48947,0.064792
-40,-40,40,2.76,88.5367,5.5273,0.0113,0.1810,0.04,0.09,-0.0001,-0.0004,0.2997,1.5058,Subcooled,0.46815,0.064001
-35,-37,40,2.76,88.0332,5.4959,0.0114,0.1826,1.54,3.58,0.0035,0.0147,0.3009,1.5063,Subcooled,0.44820,0.063216
-30,-34,40,2.76,87.5260,5.4642,0.0114,0.1826,3.04,7.07,0.0070,0.0293,0.3021,1.5068,Subcooled,0.42948,0.062438
-25,-32,40,2.76,87.0149,5.4323,0.0115,0.1842,4.56,10.61,0.0105,0.0440,0.3033,1.5075,Subcooled,0.41187,0.061665
-20,-29,40,2.76,86.4996,5.4001,0.0116,0.1858,6.08,14.14,0.0140,0.0586,0.3046,1.5083,Subcooled,0.39530,0.060898
-15,-26,40,2.76,85.9800,5.3677,0.0116,0.1858,7.60,17.68,0.0174,0.0729,0.3059,1.5091,Subcooled,0.37966,0.060137
-10,-23,40,2.76,85.4558,5.3350,0.0117,0.1874,9.14,21.26,0.0209,0.0875,0.3073,1.5102,Subcooled,0.36488,0.059380
-5,-21,40,2.76,84.9266,5.3019,0.0118,0.1890,10.68,24.84,0.0243,0.1017,0.3086,1.5113,Subcooled,0.35088,0.058629
0,-18,40,2.76,84.3923,5.2686,0.0118,0.1890,12.22,28.42,0.0277,0.1160,0.3101,1.5126,Subcooled,0.33761,0.057882
5,-15,40,2.76,83.8525,5.2349,0.0119,0.1906,13.78,32.05,0.0310,0.1298,0.3116,1.5141,Subcooled,0.32501,0.057140
10,-12,40,2.76,83.3068,5.2008,0.0120,0.1922,15.34,35.68,0.0344,0.1440,0.3131,1.5157,Subcooled,0.31302,0.056402
15,-9,40,2.76,82.7548,5.1664,0.0121,0.1938,16.91,39.33,0.0377,0.1578,0.3147,1.5176,Subcooled,0.30160,0.055667
20,-7,40,2.76,82.1963,5.1315,0.0122,0.1954,18.49,43.01,0.0410,0.1717,0.3163,1.5197,Subcooled,0.29070,0.054936
25,-4,40,2.76,81.6307,5.0962,0.0123,0.1970,20.07,46.68,0.0443,0.1855,0.3180,1.5219,Subcooled,0.28029,0.054208
30,-1,40,2.76,0.8479,0.0529,1.1793,18.8900,107.54,250.14,0.2233,0.9349,0.2125,1.1759,Superheated,0.01069,0.006599
35,2,40,2.76,0.8361,0.0522,1.1961,19.1591,108.60,252.60,0.2254,0.9437,0.2116,1.1710,Superheated,0.01081,0.006724
40,4,40,2.76,0.8247,0.0515,1.2126,19.4234,109.66,255.07,0.2275,0.9525,0.2110,1.1665,Superheated,0.01092,0.006850
45,7,40,2.76,0.8137,0.0508,1.2289,19.6845,110.71,257.51,0.2296,0.9613,0.2107,1.1624,Superheated,0.01104,0.006976
50,10,40,2.76,0.8032,0.0501,1.2450,19.9424,111.76,259.95,0.2317,0.9701,0.2106,1.1587,Superheated,0.01115,0.007103
55,13,40,2.76,0.7930,0.0495,1.2610,20.1987,112.82,262.42,0.2338,0.9789,0.2107,1.1553,Superheated,0.01127,0.007229
60,16,40,2.76,0.7832,0.0489,1.2768,20.4518,113.87,264.86,0.2358,0.9872,0.2109,1.1521,Superheated,0.01138,0.007356
65,18,40,2.76,0.7737,0.0483,1.2925,20.7033,114.93,267.33,0.2378,0.9956,0.2111,1.1492,Superheated,0.01150,0.007483
70,21,40,2.76,0.7645,0.0477,1.3081,20.9531,115.98,269.77,0.2398,1.0040,0.2115,1.1465,Superheated,0.01161,0.007610
75,24,40,2.76,0.7555,0.0472,1.3236,21.2014,117.04,272.24,0.2418,1.0124,0.2120,1.1439,Superheated,0.01172,0.007737
80,27,40,2.76,0.7469,0.0466,1.3389,21.4465,118.10,274.70,0.2438,1.0207,0.2125,1.1415,Superheated,0.01184,0.007864
85,29,40,2.76,0.7385,0.0461,1.3542,21.6916,119.17,277.19,0.2458,1.0291,0.2131,1.1392,Superheated,0.01195,0.007991
90,32,40,2.76,0.7303,0.0456,1.3694,21.9350,120.23,279.65,0.2477,1.0371,0.2137,1.1370,Superheated,0.01206,0.008119
95,35,40,2.76,0.7223,0.0451,1.3845,22.1769,121.30,282.14,0.2497,1.0454,0.2143,1.1349,Superheated,0.01217,0.008246
100,38,40,2.76,0.7146,0.0446,1.3995,22.4172,122.38,284.66,0.2516,1.0534,0.2150,1.1330,Superheated,0.01229,0.008374
