P=40 psia (29.05 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
105,41,40,2.76,0.7070,0.0441,1.4144,22.6559,123.45,287.14,0.2535,1.0614,0.2157,1.1311,Superheated,0.01240,0.008501
110,43,40,2.76,0.6996,0.0437,1.4293,22.8945,124.53,289.66,0.2554,1.0693,0.2165,1.1293,Superheated,0.01251,0.008629
115,46,40,2.76,0.6925,0.0432,1.4441,23.1316,125.62,292.19,0.2573,1.0773,0.2172,1.1276,Superheated,0.01262,0.008756
120,49,40,2.76,0.6855,0.0428,1.4589,23.3687,126.71,294.73,0.2592,1.0852,0.2180,1.1260,Superheated,0.01273,0.008884
125,52,40,2.76,0.6786,0.0424,1.4736,23.6041,127.80,297.26,0.2611,1.0932,0.2188,1.1244,Superheated,0.01284,0.009012
130,54,40,2.76,0.6720,0.0420,1.4882,23.8380,128.89,299.80,0.2629,1.1007,0.2196,1.1229,Superheated,0.01295,0.009140
135,57,40,2.76,0.6654,0.0415,1.5028,24.0719,129.99,302.36,0.2648,1.1087,0.2205,1.1215,Superheated,0.01306,0.009268
140,60,40,2.76,0.6591,0.0411,1.5173,24.3041,131.10,304.94,0.2666,1.1162,0.2213,1.1201,Superheated,0.01317,0.009395
145,63,40,2.76,0.6528,0.0408,1.5318,24.5364,132.21,307.52,0.2685,1.1242,0.2222,1.1187,Superheated,0.01328,0.009523
150,65,40,2.76,0.6467,0.0404,1.5463,24.7686,133.32,310.10,0.2703,1.1317,0.2230,1.1174,Superheated,0.01339,0.009651
