P=250 psia (141.88 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,250,17.24,89.7265,5.6016,0.0111,0.1778,-2.71,-6.30,-0.0078,-0.0327,0.2968,1.5012,Subcooled,0.52012,0.065952
-45,-43,250,17.24,89.2360,5.5710,0.0112,0.1794,-1.22,-2.84,-0.0041,-0.0172,0.2979,1.5014,Subcooled,0.49701,0.065161
-40,-40,250,17.24,88.7425,5.5402,0.0113,0.1810,0.27,0.63,-0.0006,-0.0025,0.2990,1.5016,Subcooled,0.47543,0.064377
-35,-37,250,17.24,88.2458,5.5092,0.0113,0.1810,1.77,4.12,0.0030,0.0126,0.3001,1.5019,Subcooled,0.45523,0.063600
-30,-34,250,17.24,87.7457,5.4779,0.0114,0.1826,3.27,7.61,0.0065,0.0272,0.3013,1.5023,Subcooled,0.43629,0.062829
-25,-32,250,17.24,87.2421,5.4465,0.0115,0.1842,4.78,11.12,0.0100,0.0419,0.3025,1.5028,Subcooled,0.41849,0.062064
-20,-29,250,17.24,86.7347,5.4148,0.0115,0.1842,6.29,14.63,0.0135,0.0565,0.3037,1.5034,Subcooled,0.40174,0.061305
-15,-26,250,17.24,86.2234,5.3829,0.0116,0.1858,7.81,18.17,0.0169,0.0708,0.3049,1.5040,Subcooled,0.38594,0.060552
-10,-23,250,17.24,85.7079,5.3507,0.0117,0.1874,9.34,21.72,0.0203,0.0850,0.3062,1.5048,Subcooled,0.37101,0.059804
-5,-21,250,17.24,85.1880,5.3183,0.0117,0.1874,10.88,25.31,0.0237,0.0992,0.3075,1.5057,Subcooled,0.35688,0.059062
0,-18,250,17.24,84.6634,5.2855,0.0118,0.1890,12.42,28.89,0.0271,0.1135,0.3089,1.5067,Subcooled,0.34349,0.058324
5,-15,250,17.24,84.1338,5.2525,0.0119,0.1906,13.97,32.49,0.0304,0.1273,0.3103,1.5079,Subcooled,0.33078,0.057592
10,-12,250,17.24,83.5990,5.2191,0.0120,0.1922,15.52,36.10,0.0338,0.1415,0.3117,1.5092,Subcooled,0.31869,0.056864
15,-9,250,17.24,83.0587,5.1853,0.0120,0.1922,17.08,39.73,0.0371,0.1553,0.3132,1.5107,Subcooled,0.30718,0.056140
20,-7,250,17.24,82.5125,5.1512,0.0121,0.1938,18.65,43.38,0.0404,0.1691,0.3148,1.5124,Subcooled,0.29621,0.055420
25,-4,250,17.24,81.9600,5.1167,0.0122,0.1954,20.23,47.05,0.0436,0.1825,0.3164,1.5143,Subcooled,0.28573,0.054704
30,-1,250,17.24,81.4008,5.0818,0.0123,0.1970,21.82,50.75,0.0469,0.1964,0.3180,1.5164,Subcooled,0.27571,0.053992
35,2,250,17.24,80.8346,5.0465,0.0124,0.1986,23.41,54.45,0.0501,0.2098,0.3197,1.5187,Subcooled,0.26612,0.053282
40,4,250,17.24,80.2609,5.0107,0.0125,0.2002,25.01,58.17,0.0533,0.2232,0.3215,1.5212,Subcooled,0.25692,0.052576
45,7,250,17.24,79.6791,4.9743,0.0126,0.2018,26.63,61.94,0.0566,0.2370,0.3234,1.5240,Subcooled,0.24809,0.051872
50,10,250,17.24,79.0888,4.9375,0.0126,0.2018,28.25,65.71,0.0598,0.2504,0.3253,1.5272,Subcooled,0.23961,0.051170
55,13,250,17.24,78.4893,4.9001,0.0127,0.2034,29.88,69.50,0.0629,0.2633,0.3274,1.5306,Subcooled,0.23144,0.050470
60,16,250,17.24,77.8799,4.8620,0.0128,0.2050,31.52,73.32,0.0661,0.2767,0.3295,1.5344,Subcooled,0.22356,0.049771
65,18,250,17.24,77.2600,4.8233,0.0129,0.2066,33.18,77.18,0.0693,0.2901,0.3318,1.5386,Subcooled,0.21597,0.049073
70,21,250,17.24,76.6287,4.7839,0.0130,0.2082,34.84,81.04,0.0724,0.3031,0.3341,1.5433,Subcooled,0.20863,0.048375
75,24,250,17.24,75.9852,4.7437,0.0132,0.2114,36.52,84.95,0.0756,0.3165,0.3366,1.5484,Subcooled,0.20152,0.047678
80,27,250,17.24,75.3284,4.7027,0.0133,0.2130,38.21,88.88,0.0787,0.3295,0.3393,1.5541,Subcooled,0.19464,0.046979
85,29,250,17.24,74.6572,4.6608,0.0134,0.2146,39.91,92.83,0.0819,0.3429,0.3421,1.5604,Subcooled,0.18796,0.046280
90,32,250,17.24,73.9703,4.6179,0.0135,0.2162,41.63,96.83,0.0850,0.3559,0.3451,1.5675,Subcooled,0.18148,0.045579
95,35,250,17.24,73.2663,4.5740,0.0136,0.2178,43.36,100.86,0.0882,0.3693,0.3483,1.5753,Subcooled,0.17516,0.044875
100,38,250,17.24,72.5436,4.5289,0.0138,0.2210,45.11,104.93,0.0913,0.3823,0.3518,1.5840,Subcooled,0.16901,0.044168
