P=250 psia (141.88 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
105,41,250,17.24,71.8002,4.4825,0.0139,0.2227,46.88,109.04,0.0944,0.3952,0.3556,1.5938,Subcooled,0.16301,0.043457
110,43,250,17.24,71.0340,4.4346,0.0141,0.2259,48.67,113.21,0.0976,0.4086,0.3597,1.6048,Subcooled,0.15713,0.042740
115,46,250,17.24,70.2423,4.3852,0.0142,0.2275,50.48,117.42,0.1008,0.4220,0.3642,1.6173,Subcooled,0.15138,0.042017
120,49,250,17.24,69.4220,4.3340,0.0144,0.2307,52.31,121.67,0.1039,0.4350,0.3691,1.6315,Subcooled,0.14572,0.041286
125,52,250,17.24,68.5695,4.2808,0.0146,0.2339,54.17,126.00,0.1071,0.4484,0.3747,1.6478,Subcooled,0.14016,0.040545
130,54,250,17.24,67.6801,4.2253,0.0148,0.2371,56.06,130.40,0.1103,0.4618,0.3809,1.6666,Subcooled,0.13467,0.039794
135,57,250,17.24,66.7483,4.1671,0.0150,0.2403,57.98,134.86,0.1136,0.4756,0.3880,1.6887,Subcooled,0.12923,0.039028
140,60,250,17.24,65.7667,4.1058,0.0152,0.2435,59.94,139.42,0.1169,0.4894,0.3962,1.7150,Subcooled,0.12382,0.038247
145,63,250,17.24,5.5153,0.3443,0.1813,2.9041,120.96,281.35,0.2183,0.9140,0.3271,1.4329,Superheated,0.01373,0.010706
150,65,250,17.24,5.3704,0.3353,0.1862,2.9826,122.57,285.10,0.2210,0.9253,0.3159,1.3960,Superheated,0.01384,0.010726
