P=400 psia (179.93 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
40,4,400,27.58,80.5177,5.0267,0.0124,0.1986,25.11,58.41,0.0529,0.2215,0.3202,1.5151,Subcooled,0.26066,0.052947
45,7,400,27.58,79.9472,4.9911,0.0125,0.2002,26.72,62.15,0.0561,0.2349,0.3219,1.5176,Subcooled,0.25181,0.052253
50,10,400,27.58,79.3689,4.9550,0.0126,0.2018,28.33,65.90,0.0592,0.2479,0.3238,1.5203,Subcooled,0.24330,0.051561
55,13,400,27.58,78.7823,4.9184,0.0127,0.2034,29.96,69.69,0.0624,0.2613,0.3257,1.5232,Subcooled,0.23511,0.050872
60,16,400,27.58,78.1869,4.8812,0.0128,0.2050,31.59,73.48,0.0656,0.2747,0.3277,1.5265,Subcooled,0.22723,0.050184
65,18,400,27.58,77.5820,4.8434,0.0129,0.2066,33.23,77.29,0.0687,0.2876,0.3298,1.5301,Subcooled,0.21963,0.049499
70,21,400,27.58,76.9670,4.8050,0.0130,0.2082,34.89,81.15,0.0718,0.3006,0.3319,1.5341,Subcooled,0.21229,0.048814
75,24,400,27.58,76.3411,4.7660,0.0131,0.2098,36.55,85.02,0.0750,0.3140,0.3342,1.5385,Subcooled,0.20520,0.048131
80,27,400,27.58,75.7035,4.7262,0.0132,0.2114,38.23,88.92,0.0781,0.3270,0.3367,1.5434,Subcooled,0.19833,0.047447
85,29,400,27.58,75.0533,4.6856,0.0133,0.2130,39.92,92.85,0.0812,0.3400,0.3392,1.5487,Subcooled,0.19168,0.046764
90,32,400,27.58,74.3895,4.6441,0.0134,0.2146,41.62,96.81,0.0843,0.3529,0.3419,1.5546,Subcooled,0.18523,0.046080
95,35,400,27.58,73.7109,4.6018,0.0136,0.2178,43.34,100.81,0.0874,0.3659,0.3448,1.5611,Subcooled,0.17895,0.045395
100,38,400,27.58,73.0163,4.5584,0.0137,0.2194,45.07,104.83,0.0905,0.3789,0.3479,1.5684,Subcooled,0.17285,0.044709
105,41,400,27.58,72.3042,4.5139,0.0138,0.2210,46.82,108.90,0.0937,0.3923,0.3512,1.5764,Subcooled,0.16690,0.044020
110,43,400,27.58,71.5730,4.4683,0.0140,0.2243,48.58,113.00,0.0968,0.4053,0.3548,1.5854,Subcooled,0.16110,0.043327
115,46,400,27.58,70.8207,4.4213,0.0141,0.2259,50.37,117.16,0.0999,0.4183,0.3586,1.5955,Subcooled,0.15543,0.042631
120,49,400,27.58,70.0451,4.3729,0.0143,0.2291,52.17,121.35,0.1030,0.4312,0.3628,1.6067,Subcooled,0.14987,0.041930
125,52,400,27.58,69.2436,4.3229,0.0144,0.2307,54.00,125.60,0.1061,0.4442,0.3674,1.6195,Subcooled,0.14443,0.041223
130,54,400,27.58,68.4132,4.2710,0.0146,0.2339,55.85,129.91,0.1093,0.4576,0.3724,1.6339,Subcooled,0.13907,0.040508
135,57,400,27.58,67.5502,4.2171,0.0148,0.2371,57.72,134.26,0.1125,0.4710,0.3781,1.6505,Subcooled,0.13380,0.039785
140,60,400,27.58,66.6502,4.1610,0.0150,0.2403,59.63,138.70,0.1157,0.4844,0.3844,1.6696,Subcooled,0.12859,0.039051
145,63,400,27.58,65.7075,4.1021,0.0152,0.2435,61.57,143.21,0.1189,0.4978,0.3915,1.6918,Subcooled,0.12343,0.038306
150,65,400,27.58,64.7153,4.0402,0.0155,0.2483,63.55,147.82,0.1221,0.5112,0.3998,1.7180,Subcooled,0.11829,0.037545
