P=400 psia (179.93 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,400,27.58,89.8619,5.6101,0.0111,0.1778,-2.54,-5.91,-0.0081,-0.0339,0.2964,1.4985,Subcooled,0.52576,0.066208
-45,-43,400,27.58,89.3757,5.5797,0.0112,0.1794,-1.06,-2.47,-0.0045,-0.0188,0.2974,1.4986,Subcooled,0.50243,0.065422
-40,-40,400,27.58,88.8866,5.5492,0.0113,0.1810,0.43,1.00,-0.0009,-0.0038,0.2985,1.4988,Subcooled,0.48065,0.064642
-35,-37,400,27.58,88.3945,5.5184,0.0113,0.1810,1.93,4.49,0.0026,0.0109,0.2996,1.4990,Subcooled,0.46028,0.063870
-30,-34,400,27.58,87.8993,5.4875,0.0114,0.1826,3.43,7.98,0.0061,0.0255,0.3007,1.4992,Subcooled,0.44117,0.063104
-25,-32,400,27.58,87.4008,5.4564,0.0114,0.1826,4.94,11.49,0.0096,0.0402,0.3019,1.4996,Subcooled,0.42323,0.062344
-20,-29,400,27.58,86.8988,5.4251,0.0115,0.1842,6.45,15.00,0.0131,0.0548,0.3030,1.5000,Subcooled,0.40634,0.061590
-15,-26,400,27.58,86.3931,5.3935,0.0116,0.1858,7.97,18.54,0.0165,0.0691,0.3043,1.5005,Subcooled,0.39042,0.060843
-10,-23,400,27.58,85.8835,5.3617,0.0116,0.1858,9.49,22.07,0.0199,0.0833,0.3055,1.5012,Subcooled,0.37538,0.060101
-5,-21,400,27.58,85.3698,5.3296,0.0117,0.1874,11.02,25.63,0.0233,0.0976,0.3068,1.5019,Subcooled,0.36115,0.059364
0,-18,400,27.58,84.8518,5.2973,0.0118,0.1890,12.56,29.21,0.0267,0.1118,0.3081,1.5028,Subcooled,0.34767,0.058633
5,-15,400,27.58,84.3291,5.2646,0.0119,0.1906,14.10,32.80,0.0300,0.1256,0.3094,1.5037,Subcooled,0.33488,0.057907
10,-12,400,27.58,83.8016,5.2317,0.0119,0.1906,15.65,36.40,0.0333,0.1394,0.3108,1.5049,Subcooled,0.32272,0.057186
15,-9,400,27.58,83.2690,5.1985,0.0120,0.1922,17.21,40.03,0.0366,0.1532,0.3123,1.5061,Subcooled,0.31115,0.056470
20,-7,400,27.58,82.7310,5.1649,0.0121,0.1938,18.78,43.68,0.0399,0.1671,0.3137,1.5076,Subcooled,0.30012,0.055758
25,-4,400,27.58,82.1872,5.1309,0.0122,0.1954,20.35,47.33,0.0432,0.1809,0.3153,1.5092,Subcooled,0.28959,0.055049
30,-1,400,27.58,81.6373,5.0966,0.0122,0.1954,21.93,51.01,0.0464,0.1943,0.3168,1.5109,Subcooled,0.27952,0.054345
35,2,400,27.58,81.0810,5.0619,0.0123,0.1970,23.52,54.71,0.0496,0.2077,0.3185,1.5129,Subcooled,0.26989,0.053645
