P=300 psia (156.14 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
50,10,300,20.68,79.1833,4.9434,0.0126,0.2018,28.28,65.78,0.0596,0.2495,0.3248,1.5248,Subcooled,0.24084,0.051301
55,13,300,20.68,78.5882,4.9062,0.0127,0.2034,29.90,69.55,0.0628,0.2629,0.3268,1.5281,Subcooled,0.23267,0.050605
60,16,300,20.68,77.9836,4.8685,0.0128,0.2050,31.54,73.36,0.0659,0.2759,0.3289,1.5317,Subcooled,0.22479,0.049910
65,18,300,20.68,77.3689,4.8301,0.0129,0.2066,33.19,77.20,0.0691,0.2893,0.3311,1.5357,Subcooled,0.21720,0.049216
70,21,300,20.68,76.7432,4.7911,0.0130,0.2082,34.85,81.06,0.0722,0.3023,0.3334,1.5401,Subcooled,0.20986,0.048523
75,24,300,20.68,76.1057,4.7513,0.0131,0.2098,36.53,84.97,0.0754,0.3157,0.3358,1.5450,Subcooled,0.20276,0.047830
80,27,300,20.68,75.4555,4.7107,0.0133,0.2130,38.21,88.88,0.0785,0.3287,0.3384,1.5504,Subcooled,0.19588,0.047137
85,29,300,20.68,74.7916,4.6692,0.0134,0.2146,39.91,92.83,0.0817,0.3421,0.3411,1.5564,Subcooled,0.18921,0.046444
90,32,300,20.68,74.1128,4.6268,0.0135,0.2162,41.62,96.81,0.0848,0.3550,0.3440,1.5630,Subcooled,0.18274,0.045749
95,35,300,20.68,73.4176,4.5834,0.0136,0.2178,43.35,100.83,0.0879,0.3680,0.3471,1.5704,Subcooled,0.17644,0.045051
100,38,300,20.68,72.7047,4.5389,0.0138,0.2210,45.10,104.90,0.0910,0.3810,0.3505,1.5785,Subcooled,0.17031,0.044351
105,41,300,20.68,71.9723,4.4932,0.0139,0.2227,46.86,109.00,0.0942,0.3944,0.3540,1.5877,Subcooled,0.16432,0.043648
110,43,300,20.68,71.2184,4.4461,0.0140,0.2243,48.64,113.14,0.0973,0.4074,0.3580,1.5980,Subcooled,0.15847,0.042940
115,46,300,20.68,70.4406,4.3976,0.0142,0.2275,50.44,117.32,0.1005,0.4208,0.3622,1.6096,Subcooled,0.15275,0.042226
120,49,300,20.68,69.6363,4.3474,0.0144,0.2307,52.26,121.56,0.1036,0.4338,0.3669,1.6227,Subcooled,0.14713,0.041506
125,52,300,20.68,68.8020,4.2953,0.0145,0.2323,54.11,125.86,0.1068,0.4472,0.3721,1.6376,Subcooled,0.14161,0.040777
130,54,300,20.68,67.9339,4.2411,0.0147,0.2355,55.98,130.21,0.1100,0.4605,0.3778,1.6548,Subcooled,0.13617,0.040039
135,57,300,20.68,67.0270,4.1845,0.0149,0.2387,57.89,134.65,0.1132,0.4739,0.3844,1.6748,Subcooled,0.13079,0.039289
140,60,300,20.68,66.0754,4.1251,0.0151,0.2419,59.83,139.16,0.1164,0.4873,0.3919,1.6983,Subcooled,0.12546,0.038525
145,63,300,20.68,65.0711,4.0624,0.0154,0.2467,61.81,143.77,0.1197,0.5012,0.4006,1.7262,Subcooled,0.12015,0.037744
150,65,300,20.68,64.0038,3.9957,0.0156,0.2499,63.83,148.47,0.1231,0.5154,0.4109,1.7601,Subcooled,0.11483,0.036943
