P=300 psia (156.14 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,300,20.68,89.7719,5.6044,0.0111,0.1778,-2.65,-6.16,-0.0079,-0.0331,0.2967,1.5003,Subcooled,0.52200,0.066038
-45,-43,300,20.68,89.2828,5.5739,0.0112,0.1794,-1.17,-2.72,-0.0043,-0.0180,0.2977,1.5005,Subcooled,0.49882,0.065249
-40,-40,300,20.68,88.7908,5.5432,0.0113,0.1810,0.32,0.74,-0.0007,-0.0029,0.2988,1.5007,Subcooled,0.47717,0.064466
-35,-37,300,20.68,88.2956,5.5123,0.0113,0.1810,1.82,4.23,0.0029,0.0121,0.2999,1.5009,Subcooled,0.45691,0.063690
-30,-34,300,20.68,87.7972,5.4812,0.0114,0.1826,3.32,7.72,0.0064,0.0268,0.3011,1.5013,Subcooled,0.43792,0.062921
-25,-32,300,20.68,87.2953,5.4498,0.0115,0.1842,4.83,11.23,0.0099,0.0414,0.3023,1.5017,Subcooled,0.42007,0.062158
-20,-29,300,20.68,86.7898,5.4183,0.0115,0.1842,6.35,14.77,0.0133,0.0557,0.3035,1.5022,Subcooled,0.40327,0.061400
-15,-26,300,20.68,86.2803,5.3865,0.0116,0.1858,7.87,18.31,0.0168,0.0703,0.3047,1.5029,Subcooled,0.38743,0.060649
-10,-23,300,20.68,85.7668,5.3544,0.0117,0.1874,9.39,21.84,0.0202,0.0846,0.3060,1.5036,Subcooled,0.37246,0.059903
-5,-21,300,20.68,85.2490,5.3221,0.0117,0.1874,10.93,25.42,0.0236,0.0988,0.3073,1.5044,Subcooled,0.35830,0.059163
0,-18,300,20.68,84.7266,5.2895,0.0118,0.1890,12.46,28.98,0.0269,0.1126,0.3086,1.5054,Subcooled,0.34488,0.058428
5,-15,300,20.68,84.1994,5.2565,0.0119,0.1906,14.01,32.59,0.0303,0.1269,0.3100,1.5065,Subcooled,0.33215,0.057698
10,-12,300,20.68,83.6671,5.2233,0.0120,0.1922,15.56,36.19,0.0336,0.1407,0.3114,1.5078,Subcooled,0.32004,0.056972
15,-9,300,20.68,83.1294,5.1897,0.0120,0.1922,17.13,39.84,0.0369,0.1545,0.3129,1.5092,Subcooled,0.30851,0.056251
20,-7,300,20.68,82.5859,5.1558,0.0121,0.1938,18.69,43.47,0.0402,0.1683,0.3144,1.5108,Subcooled,0.29751,0.055533
25,-4,300,20.68,82.0364,5.1215,0.0122,0.1954,20.27,47.15,0.0435,0.1821,0.3160,1.5125,Subcooled,0.28702,0.054820
30,-1,300,20.68,81.4804,5.0868,0.0123,0.1970,21.85,50.82,0.0467,0.1955,0.3176,1.5145,Subcooled,0.27699,0.054110
35,2,300,20.68,80.9176,5.0517,0.0124,0.1986,23.45,54.54,0.0500,0.2093,0.3193,1.5167,Subcooled,0.26738,0.053404
40,4,300,20.68,80.3474,5.0161,0.0124,0.1986,25.05,58.27,0.0532,0.2227,0.3211,1.5191,Subcooled,0.25817,0.052701
45,7,300,20.68,79.7695,4.9800,0.0125,0.2002,26.66,62.01,0.0564,0.2361,0.3229,1.5218,Subcooled,0.24934,0.052000
