P=225 psia (133.92 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,225,15.51,89.7037,5.6002,0.0111,0.1778,-2.74,-6.37,-0.0077,-0.0322,0.2969,1.5017,Subcooled,0.51919,0.065909
-45,-43,225,15.51,89.2125,5.5695,0.0112,0.1794,-1.25,-2.91,-0.0041,-0.0172,0.2980,1.5019,Subcooled,0.49611,0.065118
-40,-40,225,15.51,88.7182,5.5387,0.0113,0.1810,0.24,0.56,-0.0005,-0.0021,0.2991,1.5021,Subcooled,0.47456,0.064333
-35,-37,225,15.51,88.2207,5.5076,0.0113,0.1810,1.74,4.05,0.0030,0.0126,0.3002,1.5024,Subcooled,0.45440,0.063554
-30,-34,225,15.51,87.7198,5.4763,0.0114,0.1826,3.24,7.54,0.0066,0.0276,0.3014,1.5029,Subcooled,0.43548,0.062783
-25,-32,225,15.51,87.2153,5.4448,0.0115,0.1842,4.75,11.05,0.0101,0.0423,0.3026,1.5033,Subcooled,0.41770,0.062017
-20,-29,225,15.51,86.7071,5.4131,0.0115,0.1842,6.27,14.58,0.0135,0.0565,0.3038,1.5039,Subcooled,0.40097,0.061257
-15,-26,225,15.51,86.1948,5.3811,0.0116,0.1858,7.79,18.12,0.0170,0.0712,0.3050,1.5046,Subcooled,0.38519,0.060503
-10,-23,225,15.51,85.6783,5.3489,0.0117,0.1874,9.32,21.68,0.0204,0.0854,0.3063,1.5054,Subcooled,0.37028,0.059754
-5,-21,225,15.51,85.1573,5.3164,0.0117,0.1874,10.85,25.24,0.0238,0.0996,0.3077,1.5064,Subcooled,0.35617,0.059011
0,-18,225,15.51,84.6316,5.2835,0.0118,0.1890,12.39,28.82,0.0271,0.1135,0.3090,1.5074,Subcooled,0.34279,0.058272
5,-15,225,15.51,84.1008,5.2504,0.0119,0.1906,13.94,32.42,0.0305,0.1277,0.3104,1.5086,Subcooled,0.33009,0.057539
10,-12,225,15.51,83.5648,5.2169,0.0120,0.1922,15.50,36.05,0.0338,0.1415,0.3119,1.5100,Subcooled,0.31802,0.056809
15,-9,225,15.51,83.0231,5.1831,0.0120,0.1922,17.06,39.68,0.0371,0.1553,0.3134,1.5115,Subcooled,0.30652,0.056084
20,-7,225,15.51,82.4755,5.1489,0.0121,0.1938,18.63,43.33,0.0404,0.1691,0.3149,1.5132,Subcooled,0.29556,0.055363
25,-4,225,15.51,81.9215,5.1143,0.0122,0.1954,20.21,47.01,0.0437,0.1830,0.3165,1.5152,Subcooled,0.28509,0.054646
30,-1,225,15.51,81.3607,5.0793,0.0123,0.1970,21.80,50.71,0.0470,0.1968,0.3182,1.5173,Subcooled,0.27508,0.053932
35,2,225,15.51,80.7928,5.0439,0.0124,0.1986,23.39,54.41,0.0502,0.2102,0.3200,1.5197,Subcooled,0.26549,0.053221
40,4,225,15.51,80.2173,5.0079,0.0125,0.2002,25.00,58.15,0.0534,0.2236,0.3218,1.5223,Subcooled,0.25630,0.052513
45,7,225,15.51,79.6336,4.9715,0.0126,0.2018,26.61,61.89,0.0566,0.2370,0.3236,1.5252,Subcooled,0.24747,0.051807
50,10,225,15.51,79.0411,4.9345,0.0127,0.2034,28.23,65.66,0.0598,0.2504,0.3256,1.5284,Subcooled,0.23899,0.051103
55,13,225,15.51,78.4393,4.8969,0.0127,0.2034,29.87,69.48,0.0630,0.2638,0.3277,1.5319,Subcooled,0.23082,0.050401
60,16,225,15.51,77.8276,4.8588,0.0128,0.2050,31.51,73.29,0.0662,0.2772,0.3298,1.5358,Subcooled,0.22295,0.049700
65,18,225,15.51,77.2050,4.8199,0.0130,0.2082,33.17,77.15,0.0694,0.2906,0.3321,1.5401,Subcooled,0.21535,0.049000
70,21,225,15.51,76.5708,4.7803,0.0131,0.2098,34.83,81.01,0.0725,0.3035,0.3345,1.5449,Subcooled,0.20801,0.048300
75,24,225,15.51,75.9242,4.7399,0.0132,0.2114,36.51,84.92,0.0757,0.3169,0.3370,1.5502,Subcooled,0.20090,0.047600
80,27,225,15.51,75.2639,4.6987,0.0133,0.2130,38.20,88.85,0.0788,0.3299,0.3397,1.5560,Subcooled,0.19402,0.046900
85,29,225,15.51,74.5890,4.6566,0.0134,0.2146,39.91,92.83,0.0820,0.3433,0.3426,1.5625,Subcooled,0.18733,0.046197
90,32,225,15.51,73.8980,4.6134,0.0135,0.2162,41.63,96.83,0.0851,0.3563,0.3457,1.5698,Subcooled,0.18084,0.045493
95,35,225,15.51,73.1894,4.5692,0.0137,0.2194,43.37,100.88,0.0883,0.3697,0.3490,1.5778,Subcooled,0.17452,0.044786
100,38,225,15.51,72.4616,4.5238,0.0138,0.2210,45.12,104.95,0.0914,0.3827,0.3525,1.5868,Subcooled,0.16836,0.044075
105,41,225,15.51,71.7125,4.4770,0.0139,0.2227,46.89,109.07,0.0946,0.3961,0.3564,1.5969,Subcooled,0.16234,0.043360
110,43,225,15.51,70.9399,4.4288,0.0141,0.2259,48.68,113.23,0.0977,0.4091,0.3606,1.6083,Subcooled,0.15645,0.042638
115,46,225,15.51,70.1409,4.3789,0.0143,0.2291,50.50,117.46,0.1009,0.4224,0.3652,1.6213,Subcooled,0.15068,0.041910
120,49,225,15.51,69.3123,4.3272,0.0144,0.2307,52.34,121.74,0.1041,0.4358,0.3703,1.6361,Subcooled,0.14501,0.041174
125,52,225,15.51,68.4500,4.2733,0.0146,0.2339,54.20,126.07,0.1073,0.4492,0.3760,1.6531,Subcooled,0.13942,0.040427
130,54,225,15.51,67.5493,4.2171,0.0148,0.2371,56.10,130.49,0.1105,0.4626,0.3825,1.6729,Subcooled,0.13390,0.039668
135,57,225,15.51,4.9400,0.3084,0.2024,3.2420,119.73,278.49,0.2177,0.9115,0.3161,1.4031,Superheated,0.01337,0.010264
140,60,225,15.51,4.8166,0.3007,0.2076,3.3253,121.29,282.12,0.2203,0.9224,0.3061,1.3707,Superheated,0.01348,0.010304
145,63,225,15.51,4.7049,0.2937,0.2125,3.4038,122.80,285.63,0.2229,0.9332,0.2983,1.3443,Superheated,0.01359,0.010360
150,65,225,15.51,4.6026,0.2873,0.2173,3.4807,124.27,289.05,0.2253,0.9433,0.2921,1.3222,Superheated,0.01370,0.010427
