P=325 psia (162.61 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
10,-12,325,22.41,83.7010,5.2254,0.0119,0.1906,15.59,36.26,0.0335,0.1403,0.3113,1.5070,Subcooled,0.32071,0.057026
15,-9,325,22.41,83.1645,5.1919,0.0120,0.1922,17.15,39.89,0.0368,0.1541,0.3127,1.5084,Subcooled,0.30917,0.056306
20,-7,325,22.41,82.6224,5.1581,0.0121,0.1938,18.71,43.52,0.0401,0.1679,0.3142,1.5100,Subcooled,0.29817,0.055590
25,-4,325,22.41,82.0744,5.1239,0.0122,0.1954,20.29,47.19,0.0434,0.1817,0.3158,1.5117,Subcooled,0.28766,0.054878
30,-1,325,22.41,81.5199,5.0893,0.0123,0.1970,21.87,50.87,0.0466,0.1951,0.3174,1.5136,Subcooled,0.27762,0.054169
35,2,325,22.41,80.9587,5.0542,0.0124,0.1986,23.46,54.57,0.0499,0.2089,0.3191,1.5157,Subcooled,0.26801,0.053465
40,4,325,22.41,80.3904,5.0188,0.0124,0.1986,25.06,58.29,0.0531,0.2223,0.3208,1.5181,Subcooled,0.25880,0.052763
45,7,325,22.41,79.8143,4.9828,0.0125,0.2002,26.67,62.03,0.0563,0.2357,0.3226,1.5207,Subcooled,0.24995,0.052063
50,10,325,22.41,79.2301,4.9463,0.0126,0.2018,28.29,65.80,0.0595,0.2491,0.3245,1.5237,Subcooled,0.24146,0.051367
55,13,325,22.41,78.6372,4.9093,0.0127,0.2034,29.92,69.59,0.0627,0.2625,0.3265,1.5269,Subcooled,0.23328,0.050672
60,16,325,22.41,78.0350,4.8717,0.0128,0.2050,31.56,73.41,0.0658,0.2755,0.3286,1.5304,Subcooled,0.22541,0.049979
65,18,325,22.41,77.4227,4.8335,0.0129,0.2066,33.20,77.22,0.0690,0.2889,0.3307,1.5343,Subcooled,0.21781,0.049287
70,21,325,22.41,76.7998,4.7946,0.0130,0.2082,34.86,81.08,0.0721,0.3019,0.3330,1.5386,Subcooled,0.21047,0.048597
75,24,325,22.41,76.1653,4.7550,0.0131,0.2098,36.53,84.97,0.0753,0.3153,0.3354,1.5434,Subcooled,0.20337,0.047906
80,27,325,22.41,75.5183,4.7146,0.0132,0.2114,38.22,88.90,0.0784,0.3282,0.3379,1.5486,Subcooled,0.19650,0.047216
85,29,325,22.41,74.8579,4.6734,0.0134,0.2146,39.91,92.83,0.0815,0.3412,0.3406,1.5544,Subcooled,0.18983,0.046525
90,32,325,22.41,74.1829,4.6312,0.0135,0.2162,41.62,96.81,0.0847,0.3546,0.3435,1.5608,Subcooled,0.18336,0.045832
95,35,325,22.41,73.4921,4.5881,0.0136,0.2178,43.35,100.83,0.0878,0.3676,0.3465,1.5680,Subcooled,0.17707,0.045138
100,38,325,22.41,72.7839,4.5439,0.0137,0.2194,45.09,104.88,0.0909,0.3806,0.3498,1.5759,Subcooled,0.17095,0.044442
105,41,325,22.41,72.0568,4.4985,0.0139,0.2227,46.85,108.97,0.0940,0.3936,0.3533,1.5848,Subcooled,0.16497,0.043742
110,43,325,22.41,71.3088,4.4518,0.0140,0.2243,48.62,113.09,0.0972,0.4070,0.3571,1.5947,Subcooled,0.15914,0.043038
115,46,325,22.41,70.5377,4.4037,0.0142,0.2275,50.42,117.28,0.1003,0.4199,0.3613,1.6059,Subcooled,0.15343,0.042329
120,49,325,22.41,69.7408,4.3539,0.0143,0.2291,52.24,121.51,0.1035,0.4333,0.3658,1.6185,Subcooled,0.14783,0.041613
125,52,325,22.41,68.9152,4.3024,0.0145,0.2323,54.08,125.79,0.1066,0.4463,0.3708,1.6329,Subcooled,0.14233,0.040890
130,54,325,22.41,68.0571,4.2488,0.0147,0.2355,55.95,130.14,0.1098,0.4597,0.3764,1.6493,Subcooled,0.13691,0.040158
135,57,325,22.41,67.1619,4.1929,0.0149,0.2387,57.84,134.54,0.1130,0.4731,0.3827,1.6683,Subcooled,0.13156,0.039416
140,60,325,22.41,66.2241,4.1344,0.0151,0.2419,59.77,139.03,0.1162,0.4865,0.3898,1.6906,Subcooled,0.12626,0.038660
145,63,325,22.41,65.2365,4.0727,0.0153,0.2451,61.74,143.61,0.1195,0.5003,0.3981,1.7169,Subcooled,0.12099,0.037888
150,65,325,22.41,64.1898,4.0074,0.0156,0.2499,63.76,148.31,0.1228,0.5141,0.4078,1.7485,Subcooled,0.11572,0.037098
