P=325 psia (162.61 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,325,22.41,89.7945,5.6058,0.0111,0.1778,-2.63,-6.12,-0.0079,-0.0331,0.2966,1.4999,Subcooled,0.52294,0.066081
-45,-43,325,22.41,89.3061,5.5754,0.0112,0.1794,-1.14,-2.65,-0.0043,-0.0180,0.2977,1.5000,Subcooled,0.49972,0.065292
-40,-40,325,22.41,88.8148,5.5447,0.0113,0.1810,0.35,0.81,-0.0007,-0.0029,0.2987,1.5002,Subcooled,0.47804,0.064510
-35,-37,325,22.41,88.3205,5.5138,0.0113,0.1810,1.85,4.30,0.0028,0.0117,0.2999,1.5004,Subcooled,0.45775,0.063735
-30,-34,325,22.41,87.8228,5.4828,0.0114,0.1826,3.35,7.79,0.0063,0.0264,0.3010,1.5008,Subcooled,0.43873,0.062967
-25,-32,325,22.41,87.3218,5.4515,0.0115,0.1842,4.86,11.30,0.0098,0.0410,0.3022,1.5012,Subcooled,0.42086,0.062204
-20,-29,325,22.41,86.8171,5.4200,0.0115,0.1842,6.37,14.82,0.0133,0.0557,0.3034,1.5017,Subcooled,0.40404,0.061448
-15,-26,325,22.41,86.3087,5.3882,0.0116,0.1858,7.89,18.35,0.0167,0.0699,0.3046,1.5023,Subcooled,0.38818,0.060698
-10,-23,325,22.41,85.7961,5.3562,0.0117,0.1874,9.42,21.91,0.0201,0.0842,0.3058,1.5030,Subcooled,0.37319,0.059953
-5,-21,325,22.41,85.2794,5.3240,0.0117,0.1874,10.95,25.47,0.0235,0.0984,0.3071,1.5038,Subcooled,0.35902,0.059214
0,-18,325,22.41,84.7581,5.2914,0.0118,0.1890,12.49,29.05,0.0269,0.1126,0.3085,1.5047,Subcooled,0.34558,0.058480
5,-15,325,22.41,84.2320,5.2586,0.0119,0.1906,14.03,32.63,0.0302,0.1264,0.3099,1.5058,Subcooled,0.33283,0.057750
