P=500 psia (199.37 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,500,34.47,89.9511,5.6156,0.0111,0.1778,-2.42,-5.63,-0.0083,-0.0348,0.2961,1.4968,Subcooled,0.52953,0.066377
-45,-43,500,34.47,89.4676,5.5854,0.0112,0.1794,-0.94,-2.19,-0.0047,-0.0197,0.2971,1.4968,Subcooled,0.50606,0.065594
-40,-40,500,34.47,88.9814,5.5551,0.0112,0.1794,0.55,1.28,-0.0011,-0.0046,0.2982,1.4969,Subcooled,0.48415,0.064817
-35,-37,500,34.47,88.4923,5.5246,0.0113,0.1810,2.04,4.75,0.0024,0.0100,0.2993,1.4970,Subcooled,0.46365,0.064048
-30,-34,500,34.47,88.0003,5.4938,0.0114,0.1826,3.54,8.23,0.0059,0.0247,0.3004,1.4972,Subcooled,0.44444,0.063285
-25,-32,500,34.47,87.5051,5.4629,0.0114,0.1826,5.04,11.72,0.0094,0.0394,0.3015,1.4975,Subcooled,0.42639,0.062529
-20,-29,500,34.47,87.0065,5.4318,0.0115,0.1842,6.55,15.24,0.0128,0.0536,0.3026,1.4978,Subcooled,0.40941,0.061778
-15,-26,500,34.47,86.5044,5.4004,0.0116,0.1858,8.07,18.77,0.0163,0.0682,0.3038,1.4983,Subcooled,0.39341,0.061034
-10,-23,500,34.47,85.9986,5.3689,0.0116,0.1858,9.59,22.31,0.0197,0.0825,0.3050,1.4988,Subcooled,0.37830,0.060296
-5,-21,500,34.47,85.4889,5.3371,0.0117,0.1874,11.12,25.87,0.0230,0.0963,0.3063,1.4994,Subcooled,0.36400,0.059564
0,-18,500,34.47,84.9751,5.3050,0.0118,0.1890,12.66,29.45,0.0264,0.1105,0.3076,1.5002,Subcooled,0.35046,0.058837
5,-15,500,34.47,84.4568,5.2726,0.0118,0.1890,14.20,33.03,0.0297,0.1243,0.3089,1.5011,Subcooled,0.33761,0.058115
10,-12,500,34.47,83.9340,5.2400,0.0119,0.1906,15.74,36.61,0.0331,0.1386,0.3102,1.5020,Subcooled,0.32540,0.057398
15,-9,500,34.47,83.4063,5.2070,0.0120,0.1922,17.30,40.24,0.0363,0.1520,0.3116,1.5032,Subcooled,0.31378,0.056686
20,-7,500,34.47,82.8735,5.1738,0.0121,0.1938,18.86,43.87,0.0396,0.1658,0.3131,1.5045,Subcooled,0.30271,0.055979
25,-4,500,34.47,82.3352,5.1402,0.0121,0.1938,20.43,47.52,0.0429,0.1796,0.3146,1.5059,Subcooled,0.29214,0.055276
30,-1,500,34.47,81.7912,5.1062,0.0122,0.1954,22.01,51.20,0.0461,0.1930,0.3161,1.5075,Subcooled,0.28205,0.054577
35,2,500,34.47,81.2411,5.0719,0.0123,0.1970,23.59,54.87,0.0493,0.2064,0.3177,1.5093,Subcooled,0.27239,0.053881
40,4,500,34.47,80.6845,5.0371,0.0124,0.1986,25.18,58.57,0.0525,0.2198,0.3193,1.5113,Subcooled,0.26314,0.053190
45,7,500,34.47,80.1210,5.0019,0.0125,0.2002,26.78,62.29,0.0557,0.2332,0.3210,1.5135,Subcooled,0.25426,0.052501
50,10,500,34.47,79.5502,4.9663,0.0126,0.2018,28.39,66.04,0.0589,0.2466,0.3228,1.5159,Subcooled,0.24574,0.051816
55,13,500,34.47,78.9717,4.9302,0.0127,0.2034,30.01,69.80,0.0621,0.2600,0.3246,1.5186,Subcooled,0.23754,0.051133
60,16,500,34.47,78.3850,4.8936,0.0128,0.2050,31.64,73.59,0.0652,0.2730,0.3265,1.5216,Subcooled,0.22965,0.050453
65,18,500,34.47,77.7894,4.8564,0.0129,0.2066,33.28,77.41,0.0683,0.2860,0.3285,1.5248,Subcooled,0.22204,0.049775
70,21,500,34.47,77.1844,4.8186,0.0130,0.2082,34.93,81.25,0.0715,0.2994,0.3306,1.5284,Subcooled,0.21470,0.049099
75,24,500,34.47,76.5693,4.7802,0.0131,0.2098,36.58,85.09,0.0746,0.3123,0.3328,1.5324,Subcooled,0.20761,0.048424
80,27,500,34.47,75.9435,4.7411,0.0132,0.2114,38.25,88.97,0.0777,0.3253,0.3351,1.5368,Subcooled,0.20075,0.047750
85,29,500,34.47,75.3060,4.7013,0.0133,0.2130,39.93,92.88,0.0808,0.3383,0.3375,1.5416,Subcooled,0.19411,0.047076
90,32,500,34.47,74.6561,4.6608,0.0134,0.2146,41.63,96.83,0.0839,0.3513,0.3401,1.5468,Subcooled,0.18767,0.046403
95,35,500,34.47,73.9928,4.6194,0.0135,0.2162,43.34,100.81,0.0870,0.3643,0.3427,1.5527,Subcooled,0.18142,0.045729
100,38,500,34.47,73.3149,4.5770,0.0136,0.2178,45.06,104.81,0.0901,0.3772,0.3456,1.5591,Subcooled,0.17534,0.045055
105,41,500,34.47,72.6212,4.5337,0.0138,0.2210,46.79,108.83,0.0932,0.3902,0.3487,1.5662,Subcooled,0.16942,0.044379
110,43,500,34.47,71.9104,4.4893,0.0139,0.2227,48.54,112.90,0.0962,0.4028,0.3519,1.5741,Subcooled,0.16366,0.043701
115,46,500,34.47,71.1808,4.4438,0.0140,0.2243,50.31,117.02,0.0993,0.4157,0.3554,1.5829,Subcooled,0.15803,0.043020
120,49,500,34.47,70.4307,4.3970,0.0142,0.2275,52.10,121.18,0.1024,0.4287,0.3592,1.5926,Subcooled,0.15253,0.042336
125,52,500,34.47,69.6580,4.3487,0.0144,0.2307,53.90,125.37,0.1055,0.4417,0.3633,1.6036,Subcooled,0.14714,0.041647
130,54,500,34.47,68.8602,4.2989,0.0145,0.2323,55.73,129.63,0.1086,0.4547,0.3678,1.6159,Subcooled,0.14186,0.040954
135,57,500,34.47,68.0345,4.2474,0.0147,0.2355,57.58,133.93,0.1118,0.4681,0.3727,1.6298,Subcooled,0.13667,0.040254
140,60,500,34.47,67.1775,4.1939,0.0149,0.2387,59.46,138.30,0.1149,0.4811,0.3781,1.6456,Subcooled,0.13155,0.039546
145,63,500,34.47,66.2852,4.1382,0.0151,0.2419,61.37,142.75,0.1181,0.4945,0.3842,1.6637,Subcooled,0.12651,0.038829
150,65,500,34.47,65.3527,4.0800,0.0153,0.2451,63.30,147.24,0.1213,0.5079,0.3910,1.6847,Subcooled,0.12151,0.038102
